od,n_viagens_validacao,n_viagens_sintetico,participacao_validacao_pct,participacao_sintetico_pct
upper east side south-upper east side north,6151,8517,0.907108063985701,0.7780213757193751
upper east side north-upper east side south,5586,7481,0.8237856682529875,0.6833835754087878
upper east side north-upper east side north,4199,6161,0.6192402472241845,0.562802594318078
upper east side south-upper east side south,4085,5890,0.6024282948108581,0.5380469535032428
midtown center-upper east side south,3187,4256,0.4699973012392179,0.38878231478944003
midtown center-upper east side north,2729,3774,0.4024545450523456,0.3447519868457111
upper east side south-midtown center,2580,3537,0.38048102830159464,0.32310221978624276
upper east side south-midtown east,2324,3087,0.34272787200500227,0.28199506714168265
upper east side north-midtown center,2218,3033,0.3270957057259445,0.27706220882433547
midtown east-upper east side south,1924,2674,0.2837385652915768,0.24426783593678633
lenox hill west-upper east side north,1920,2950,0.2831486722244425,0.26948022289211654
upper west side south-upper west side north,1861,3032,0.27444774948421224,0.2769708595962364
penn station/madison sq west-midtown center,1856,2493,0.27371038315029445,0.22773362565086325
midtown center-midtown center,1838,2491,0.2710558643481903,0.22755092719466521
lincoln square east-upper west side south,1838,3274,0.2710558643481903,0.2990773727961999
lenox hill east-upper east side north,1794,2458,0.2645670406097135,0.22453640266739747
penn station/madison sq west-times sq/theatre district,1792,2570,0.2642720940761463,0.234767516214488
upper east side south-lenox hill west,1776,2633,0.2619125218076093,0.24052251758472643
upper east side north-lenox hill west,1744,2663,0.2571933772705353,0.24326299442769708
upper east side north-upper west side north,1691,2512,0.24937729413100643,0.22946926098474468
upper west side south-lincoln square east,1691,2972,0.24937729413100643,0.27148990591029504
upper east side north-upper west side south,1689,2520,0.24908234759743927,0.23020005480953687
midtown east-upper east side north,1652,2248,0.24362583672644741,0.20535306476660273
yorkville west-upper east side north,1634,2410,0.24097131792434326,0.22015163971864435
upper east side south-lenox hill east,1632,2364,0.2406763713907761,0.21594957522608932
midtown center-union sq,1609,2158,0.23728448625475418,0.1971316342376907
upper east side north-midtown east,1604,2224,0.23654711992083635,0.2031606832922262
upper east side south-lincoln square east,1602,2263,0.2362521733872692,0.20672330318808807
lincoln square east-upper east side north,1579,2244,0.23286028825124727,0.20498766785420663
upper east side north-lenox hill east,1568,2097,0.23123808231662804,0.1915593313236503
upper west side south-upper east side north,1561,2266,0.23020576944914312,0.20699735087238513
lincoln square east-upper east side south,1555,2257,0.22932092984844174,0.20617520781949392
midtown north-upper east side north,1554,2060,0.22917345658165816,0.1881794098839865
yorkville east-upper east side north,1537,2221,0.22666641104633756,0.20288663560792913
midtown center-midtown north,1533,1889,0.22607651797920333,0.17255869187905362
midtown center-midtown south,1514,2179,0.2232745259103156,0.19904996802777014
upper west side north-upper west side south,1512,2587,0.22297957937674845,0.23632045309217137
lenox hill west-upper east side south,1492,2328,0.2200301140410772,0.21266100301452454
upper east side north-lincoln square east,1490,1995,0.21973516750751007,0.18224171005755002
lenox hill east-upper east side south,1482,2176,0.21855538137324154,0.19877592034347308
midtown north-upper east side south,1468,1894,0.21649075563827166,0.17301543801954872
midtown center-lenox hill west,1463,2070,0.21575338930435387,0.1890929021649767
upper east side north-yorkville east,1450,2267,0.21383623683616754,0.20708870010048416
lincoln square east-upper west side north,1435,2755,0.21162413783441408,0.25166712341280717
jfk airport-jfk airport,1432,3006,0.21118171803406338,0.2745957796656618
laguardia airport-times sq/theatre district,1426,2144,0.210296878433362,0.1958527450443044
midtown center-murray hill,1425,1788,0.21014940516657843,0.16333241984105235
midtown north-midtown center,1403,1879,0.20690499329734002,0.1716451995980634
penn station/madison sq west-union sq,1393,1928,0.20543026062950437,0.1761213117749155
upper west side north-upper east side north,1362,2042,0.20085858935921388,0.18653512377820408
upper east side south-yorkville west,1347,2025,0.19864649035746043,0.1849821869005207
upper east side north-yorkville west,1343,2140,0.1980565972903262,0.1954873481319083
midtown east-lenox hill west,1322,1990,0.19495965868787135,0.1817849639170549
penn station/madison sq west-murray hill,1319,2279,0.19451723888752065,0.20818489083767244
union sq-murray hill,1316,1777,0.19407481908716998,0.1623275783319631
midtown center-lincoln square east,1315,1818,0.1939273458203864,0.16607289668402303
midtown east-murray hill,1312,1935,0.19348492602003572,0.17676075637160865
upper east side north-east harlem south,1279,1894,0.18861830821617812,0.17301543801954872
upper east side south-upper west side south,1277,1792,0.188323361682611,0.16369781675344844
upper west side south-upper west side south,1272,2170,0.18758599534869316,0.19822782497487895
times sq/theatre district-penn station/madison sq west,1271,2176,0.1874385220819096,0.19877592034347308
midtown center-penn station/madison sq west,1269,1908,0.1871435755483425,0.17429432721293506
gramercy-murray hill,1258,1883,0.18552136961372329,0.1720105965104595
jfk airport-times sq/theatre district,1243,2369,0.18330927061196983,0.21640632136658444
midtown south-midtown center,1216,1784,0.1793274924088136,0.16296702292865625
midtown center-midtown east,1211,1627,0.17859012607489577,0.1486251941171097
upper east side south-sutton place/turtle bay north,1201,1735,0.17711539340706015,0.15849091075180416
midtown east-midtown east,1190,1666,0.17549318747244094,0.1521878140129716
midtown east-midtown center,1185,1575,0.17475582113852312,0.14387503425596054
midtown east-lenox hill east,1184,1747,0.17460834787173954,0.1595871014889924
murray hill-midtown center,1181,1580,0.17416592807138886,0.14433178039645567
yorkville west-lenox hill west,1172,2050,0.1728386686703368,0.18726591760299627
upper east side south-yorkville east,1168,1583,0.17224877560320254,0.14460582808075273
midtown center-sutton place/turtle bay north,1147,1723,0.16915183700074768,0.15739472001461588
