od,hora_do_dia,validacao_pct,sintetico_pct
upper east side south-upper east side north,0,0.16257519102584947,0.7631795233063285
upper east side south-upper east side north,1,0.09754511461550967,0.4579077139837971
upper east side south-upper east side north,2,0.0,0.18785957496771163
upper east side south-upper east side north,3,0.0,0.09392978748385582
upper east side south-upper east side north,4,0.0,0.04696489374192791
upper east side south-upper east side north,5,0.016257519102584946,0.1526359046612657
upper east side south-upper east side north,6,0.4552105348723785,0.5753199483386169
upper east side south-upper east side north,7,3.6904568362867827,2.8413760713866387
upper east side south-upper east side north,8,4.113152332953991,4.508629799225079
upper east side south-upper east side north,9,4.291985043082425,5.400962780321709
upper east side south-upper east side north,10,5.446268899365957,5.941059058353881
upper east side south-upper east side north,11,6.01528206795643,6.9625454972408125
upper east side south-upper east side north,12,6.9094456185986015,7.4204532112246095
upper east side south-upper east side north,13,7.49471630629166,7.408711987789128
upper east side south-upper east side north,14,9.510648675012193,9.592579546788775
upper east side south-upper east side north,15,8.551455047959681,8.230597628272866
upper east side south-upper east side north,16,6.811900503983093,8.277562522014794
upper east side south-upper east side north,17,7.267111038855472,6.786427145708583
upper east side south-upper east side north,18,7.055763290521866,6.8686157097569565
upper east side south-upper east side north,19,6.226629816290035,5.870611717740989
upper east side south-upper east side north,20,5.950251991546089,4.673006927321826
upper east side south-upper east side north,21,5.933994472443505,3.686744158741341
upper east side south-upper east side north,22,3.1702162250040646,2.2308324527415757
upper east side south-upper east side north,23,0.8291334742318323,1.021486438886932
upper east side north-upper east side south,0,0.0,0.16040636278572384
upper east side north-upper east side south,1,0.0,0.13367196898810318
upper east side north-upper east side south,2,0.03580379520229145,0.06683598449405159
upper east side north-upper east side south,3,0.0,0.04010159069643096
upper east side north-upper east side south,4,0.0,0.01336719689881032
upper east side north-upper east side south,5,0.1611170784103115,0.05346878759524128
upper east side north-upper east side south,6,0.5728607232366631,0.6950942387381367
upper east side north-upper east side south,7,3.7593984962406015,2.646704985964443
upper east side north-upper east side south,8,5.495882563551737,4.7587220959764736
upper east side north-upper east side south,9,7.608306480486932,6.670231252506349
upper east side north-upper east side south,10,7.608306480486932,7.178184734661142
upper east side north-upper east side south,11,8.950948800572862,8.501537227643363
upper east side north-upper east side south,12,8.324382384532761,8.608474802833847
upper east side north-upper east side south,13,6.641604010025063,8.434701243149313
upper east side north-upper east side south,14,7.2144647332617255,9.410506616762465
upper east side north-upper east side south,15,9.684926602219836,10.43978077797086
upper east side north-upper east side south,16,7.089151450053706,7.445528672637349
upper east side north-upper east side south,17,8.037952022914428,8.301029274161209
upper east side north-upper east side south,18,8.037952022914428,6.215746557946798
upper east side north-upper east side south,19,4.189044038668099,4.330971795214544
upper east side north-upper east side south,20,3.2044396706050837,2.7803769549525468
upper east side north-upper east side south,21,1.8976011457214466,1.6575324154524795
upper east side north-upper east side south,22,1.1815252416756177,1.0961101457024462
upper east side north-upper east side south,23,0.30433225921947726,0.3609143162678786
upper east side north-upper east side north,0,0.16670635865682304,0.3246226261970459
upper east side north-upper east side north,1,0.04763038818766373,0.04869339392955689
upper east side north-upper east side north,2,0.0,0.08115565654926148
upper east side north-upper east side north,3,0.0,0.03246226261970459
upper east side north-upper east side north,4,0.0,0.06492452523940918
upper east side north-upper east side north,5,0.11907597046915933,0.06492452523940918
upper east side north-upper east side north,6,0.6191950464396285,0.8115565654926148
upper east side north-upper east side north,7,4.429626101452727,3.505924362928096
upper east side north-upper east side north,8,7.14455822814956,4.479792241519234
upper east side north-upper east side north,9,5.668016194331984,5.973056322025645
upper east side north-upper east side north,10,6.26339604667778,6.703457230968998
upper east side north-upper east side north,11,6.358656823053107,6.817075150137965
upper east side north-upper east side north,12,7.192188616337224,8.326570361954229
upper east side north-upper east side north,13,6.739699928554417,8.310339230644376
upper east side north-upper east side north,14,8.906882591093117,10.225612725206947
upper east side north-upper east side north,15,9.478447249345082,9.949683492939458
upper east side north-upper east side north,16,8.43057870921648,8.634961856841421
upper east side north-upper east side north,17,7.882829245058347,7.644862846940431
upper east side north-upper east side north,18,7.049297451774232,6.57360818049018
upper east side north-upper east side north,19,5.215527506549178,4.512254504138938
upper east side north-upper east side north,20,3.19123600857347,2.8242168479143
upper east side north-upper east side north,21,2.9530840676351513,2.5482876156468106
upper east side north-upper east side north,22,1.5479876160990713,1.20110371692907
upper east side north-upper east side north,23,0.5953798523457966,0.3408537575068982
upper east side south-upper east side south,0,0.3427172582619339,0.4244482173174873
upper east side south-upper east side south,1,0.12239902080783352,0.37351443123938877
upper east side south-upper east side south,2,0.12239902080783352,0.2546689303904924
upper east side south-upper east side south,3,0.02447980416156671,0.05093378607809847
upper east side south-upper east side south,4,0.04895960832313342,0.06791171477079797
upper east side south-upper east side south,5,0.07343941248470012,0.23769100169779284
upper east side south-upper east side south,6,0.5630354957160343,0.5093378607809848
upper east side south-upper east side south,7,2.08078335373317,2.2920203735144313
upper east side south-upper east side south,8,3.7698898408812727,3.9558573853989816
upper east side south-upper east side south,9,5.752753977968176,6.095076400679117
upper east side south-upper east side south,10,5.752753977968176,6.536502546689304
upper east side south-upper east side south,11,7.441860465116279,7.65704584040747
upper east side south-upper east side south,12,8.494492044063648,8.760611205432937
upper east side south-upper east side south,13,7.588739290085679,7.945670628183361
upper east side south-upper east side south,14,8.886168910648715,9.100169779286928
upper east side south-upper east side south,15,8.102815177478579,8.081494057724957
upper east side south-upper east side south,16,6.707466340269278,6.723259762308999
upper east side south-upper east side south,17,6.340269277845777,7.623089983022072
upper east side south-upper east side south,18,8.347613219094248,7.283531409168082
upper east side south-upper east side south,19,6.487148102815178,5.517826825127335
upper east side south-upper east side south,20,4.332925336597307,4.074702886247878
upper east side south-upper east side south,21,4.798041615667074,3.259762308998302
upper east side south-upper east side south,22,2.8151774785801713,2.1052631578947367
upper east side south-upper east side south,23,1.003671970624235,1.0696095076400678
midtown center-upper east side south,0,0.1882648258550361,0.42293233082706766
midtown center-upper east side south,1,0.09413241292751805,0.1174812030075188
midtown center-upper east side south,2,0.0,0.14097744360902253
midtown center-upper east side south,3,0.0,0.09398496240601503
midtown center-upper east side south,4,0.0,0.023496240601503758
midtown center-upper east side south,5,0.06275494195167869,0.09398496240601503
midtown center-upper east side south,6,0.6275494195167869,0.42293233082706766
midtown center-upper east side south,7,1.7571383746470035,1.3392857142857142
midtown center-upper east side south,8,2.541575149042987,2.161654135338346
midtown center-upper east side south,9,3.514276749294007,3.5009398496240602
midtown center-upper east side south,10,4.141826168810794,4.487781954887218
midtown center-upper east side south,11,6.1813617822403515,5.404135338345864
midtown center-upper east side south,12,6.432381550047066,7.94172932330827
midtown center-upper east side south,13,6.620646375902102,7.072368421052631
midtown center-upper east side south,14,7.938500156887354,8.693609022556391
midtown center-upper east side south,15,7.656102918104802,7.636278195488721
midtown center-upper east side south,16,9.632883589582681,9.210526315789473
midtown center-upper east side south,17,10.51145277690618,9.539473684210527
midtown center-upper east side south,18,10.323187951051144,9.844924812030076
midtown center-upper east side south,19,7.436460621273926,8.106203007518797
midtown center-upper east side south,20,5.30279259491685,4.840225563909774
midtown center-upper east side south,21,4.926262943206777,4.957706766917293
midtown center-upper east side south,22,3.263256981487292,2.93703007518797
midtown center-upper east side south,23,0.8471917163476623,1.0103383458646615
midtown center-upper east side north,0,0.2565042139978014,0.688924218335983
midtown center-upper east side north,1,0.14657383657017223,0.1589825119236884
midtown center-upper east side north,2,0.07328691828508611,0.1589825119236884
midtown center-upper east side north,3,0.0,0.1589825119236884
midtown center-upper east side north,4,0.0,0.052994170641229466
midtown center-upper east side north,5,0.10993037742762918,0.10598834128245893
midtown center-upper east side north,6,0.03664345914254306,0.2649708532061473
midtown center-upper east side north,7,0.7695126419934042,0.7684154742978272
midtown center-upper east side north,8,1.0626603151337486,1.5898251192368837
midtown center-upper east side north,9,1.942103334554782,2.570217276099629
midtown center-upper east side north,10,2.4184683034078414,2.8881822999470055
midtown center-upper east side north,11,3.6643459142543056,4.769475357710652
midtown center-upper east side north,12,4.177354342249908,6.014838367779545
midtown center-upper east side north,13,5.899596921949432,6.253312135665076
midtown center-upper east side north,14,6.852326859655551,7.8431372549019605
midtown center-upper east side north,15,6.632466104800293,6.253312135665076
midtown center-upper east side north,16,7.54855258336387,6.597774244833069
midtown center-upper east side north,17,10.516672773909857,8.532061473237944
midtown center-upper east side north,18,13.228288750458042,10.466348701642818
midtown center-upper east side north,19,10.260168559912056,10.890302066772655
midtown center-upper east side north,20,7.878343715646757,9.088500264970852
midtown center-upper east side north,21,9.783803591058996,8.24059353471118
midtown center-upper east side north,22,4.983510443385856,4.160042395336513
midtown center-upper east side north,23,1.7588860388420668,1.483836777954425
upper east side south-midtown center,0,0.1937984496124031,0.6785411365564037
upper east side south-midtown center,1,0.03875968992248062,0.3675431156347187
upper east side south-midtown center,2,0.0,0.16963528413910092
upper east side south-midtown center,3,0.0,0.11309018942606729
upper east side south-midtown center,4,0.07751937984496124,0.22618037885213457
upper east side south-midtown center,5,0.0,0.31099802092168505
upper east side south-midtown center,6,1.2015503875968991,1.4701724625388748
upper east side south-midtown center,7,6.24031007751938,5.569691829233814
upper east side south-midtown center,8,10.116279069767442,8.481764206955047
upper east side south-midtown center,9,11.705426356589149,8.877579869946283
upper east side south-midtown center,10,7.170542635658915,8.00113090189426
upper east side south-midtown center,11,7.945736434108527,7.746677975685609
upper east side south-midtown center,12,6.937984496124031,7.888040712468193
upper east side south-midtown center,13,7.906976744186046,6.813683912920554
upper east side south-midtown center,14,7.286821705426356,8.990670059372349
upper east side south-midtown center,15,5.736434108527131,6.728866270851004
upper east side south-midtown center,16,4.341085271317829,6.644048628781453
upper east side south-midtown center,17,6.705426356589148,5.993780039581567
upper east side south-midtown center,18,5.9689922480620154,4.2408821034775235
upper east side south-midtown center,19,3.2945736434108532,3.5906135142776368
upper east side south-midtown center,20,2.6744186046511627,2.4597116200169635
upper east side south-midtown center,21,2.131782945736434,2.261803788521346
upper east side south-midtown center,22,1.9767441860465116,1.413627367825841
upper east side south-midtown center,23,0.3488372093023256,0.9612666101215719
upper east side south-midtown east,0,0.17211703958691912,0.9070294784580499
upper east side south-midtown east,1,0.0,0.5183025591188857
upper east side south-midtown east,2,0.04302925989672978,0.09718172983479105
upper east side south-midtown east,3,0.0,0.06478781988986071
upper east side south-midtown east,4,0.08605851979345956,0.06478781988986071
upper east side south-midtown east,5,0.08605851979345956,0.32393909944930355
upper east side south-midtown east,6,0.8605851979345954,0.8422416585681892
upper east side south-midtown east,7,4.475043029259897,3.7900874635568513
upper east side south-midtown east,8,8.347676419965575,7.547781017168773
upper east side south-midtown east,9,9.853700516351118,8.130871396177518
upper east side south-midtown east,10,7.83132530120482,7.871720116618077
upper east side south-midtown east,11,7.487091222030981,7.029478458049887
upper east side south-midtown east,12,8.347676419965575,8.033689666342728
upper east side south-midtown east,13,6.884681583476763,8.033689666342728
upper east side south-midtown east,14,6.110154905335628,8.390022675736962
upper east side south-midtown east,15,5.76592082616179,6.316812439261418
upper east side south-midtown east,16,6.669535283993115,6.284418529316488
upper east side south-midtown east,17,6.282271944922548,6.0576611597019765
upper east side south-midtown east,18,5.464716006884681,5.442176870748299
upper east side south-midtown east,19,4.561101549053356,4.535147392290249
upper east side south-midtown east,20,4.475043029259897,3.69290573372206
upper east side south-midtown east,21,2.7969018932874357,3.0450275348234532
upper east side south-midtown east,22,2.753872633390706,2.0408163265306123
upper east side south-midtown east,23,0.6454388984509466,0.9394233884029802
upper east side north-midtown center,0,0.045085662759242556,0.13188262446422683
upper east side north-midtown center,1,0.0,0.16485328058028356
upper east side north-midtown center,2,0.0,0.03297065611605671
upper east side north-midtown center,3,0.0,0.0
upper east side north-midtown center,4,0.0,0.06594131223211341
upper east side north-midtown center,5,0.2254283137962128,0.13188262446422683
upper east side north-midtown center,6,3.87736699729486,4.055390702274975
upper east side north-midtown center,7,13.0297565374211,10.61655126937026
upper east side north-midtown center,8,17.44815148782687,13.781734256511704
upper east side north-midtown center,9,14.24706943192065,11.869436201780417
upper east side north-midtown center,10,8.566275924256086,8.605341246290802
upper east side north-midtown center,11,8.61136158701533,7.847016155621497
upper east side north-midtown center,12,5.229936880072137,7.550280250576987
upper east side north-midtown center,13,4.2380522993688015,5.934718100890208
upper east side north-midtown center,14,5.229936880072137,6.462248598747116
upper east side north-midtown center,15,4.192966636609558,6.6930431915595126
upper east side north-midtown center,16,3.2912533814247067,4.61589185624794
upper east side north-midtown center,17,4.508566275924256,3.9894493900428616
upper east side north-midtown center,18,3.69702434625789,2.835476425980877
upper east side north-midtown center,19,1.6681695220919748,1.7804154302670623
upper east side north-midtown center,20,0.9918845807033363,1.2858555885262115
upper east side north-midtown center,21,0.40577096483318303,0.7253544345532476
upper east side north-midtown center,22,0.40577096483318303,0.6923837784371909
upper east side north-midtown center,23,0.09017132551848511,0.13188262446422683
midtown east-upper east side south,0,0.4158004158004158,0.1869857890800299
midtown east-upper east side south,1,0.2079002079002079,0.14958863126402394
midtown east-upper east side south,2,0.10395010395010396,0.22438294689603588
midtown east-upper east side south,3,0.05197505197505198,0.11219147344801794
midtown east-upper east side south,4,0.0,0.11219147344801794
midtown east-upper east side south,5,0.10395010395010396,0.3365744203440539
midtown east-upper east side south,6,1.1434511434511436,1.0097232610321616
midtown east-upper east side south,7,2.130977130977131,2.4308152580403886
midtown east-upper east side south,8,3.5343035343035343,3.7023186237845924
midtown east-upper east side south,9,5.665280665280665,4.93642483171279
midtown east-upper east side south,10,4.833679833679834,7.030665669409125
midtown east-upper east side south,11,6.081081081081082,7.105459985041136
midtown east-upper east side south,12,6.496881496881497,6.843679880329096
midtown east-upper east side south,13,5.5613305613305615,7.703814510097233
midtown east-upper east side south,14,7.640332640332641,7.479431563201197
midtown east-upper east side south,15,7.224532224532225,6.3949139865370235
midtown east-upper east side south,16,6.860706860706861,8.37696335078534
midtown east-upper east side south,17,11.122661122661123,8.825729244577413
midtown east-upper east side south,18,10.135135135135135,8.339566192969334
midtown east-upper east side south,19,7.744282744282745,7.217651458489155
midtown east-upper east side south,20,4.833679833679834,4.56245325355273
midtown east-upper east side south,21,4.417879417879418,3.926701570680628
midtown east-upper east side south,22,2.9106029106029108,1.944652206432311
midtown east-upper east side south,23,0.7796257796257797,1.0471204188481675
lenox hill west-upper east side north,0,0.26041666666666663,0.6440677966101694
lenox hill west-upper east side north,1,0.20833333333333334,0.847457627118644
