od,hora_do_dia,dia_da_semana,n_viagens
allerton/pelham gardens-allerton/pelham gardens,10,0,1
allerton/pelham gardens-allerton/pelham gardens,21,0,1
allerton/pelham gardens-allerton/pelham gardens,5,3,1
allerton/pelham gardens-allerton/pelham gardens,16,3,1
allerton/pelham gardens-bedford park,16,3,1
allerton/pelham gardens-bensonhurst east,13,0,1
allerton/pelham gardens-chinatown,8,3,1
allerton/pelham gardens-co-op city,10,1,1
allerton/pelham gardens-co-op city,19,3,1
allerton/pelham gardens-crotona park east,17,3,1
allerton/pelham gardens-garment district,7,2,1
allerton/pelham gardens-garment district,8,3,1
allerton/pelham gardens-gramercy,10,0,1
allerton/pelham gardens-hamilton heights,6,2,1
allerton/pelham gardens-hamilton heights,5,3,1
allerton/pelham gardens-inwood,14,2,1
allerton/pelham gardens-kips bay,12,3,1
allerton/pelham gardens-kips bay,13,3,1
allerton/pelham gardens-lenox hill east,12,2,1
allerton/pelham gardens-morningside heights,15,1,1
allerton/pelham gardens-morrisania/melrose,16,3,1
allerton/pelham gardens-mott haven/port morris,1,0,1
allerton/pelham gardens-mount hope,13,2,1
allerton/pelham gardens-pelham bay,11,2,1
allerton/pelham gardens-steinway,10,2,1
allerton/pelham gardens-tribeca/civic center,6,0,1
allerton/pelham gardens-tribeca/civic center,6,1,2
allerton/pelham gardens-un/turtle bay south,12,3,1
allerton/pelham gardens-union sq,7,1,1
allerton/pelham gardens-university heights/morris heights,13,1,1
allerton/pelham gardens-upper east side north,7,0,1
allerton/pelham gardens-upper west side south,4,3,1
allerton/pelham gardens-van nest/morris park,8,1,1
allerton/pelham gardens-van nest/morris park,10,3,1
allerton/pelham gardens-washington heights south,7,1,1
allerton/pelham gardens-washington heights south,15,2,1
alphabet city-alphabet city,1,0,1
alphabet city-alphabet city,2,0,2
alphabet city-alphabet city,3,0,1
alphabet city-alphabet city,4,0,1
alphabet city-alphabet city,5,0,1
alphabet city-alphabet city,7,0,1
alphabet city-alphabet city,11,0,1
alphabet city-alphabet city,17,0,1
alphabet city-alphabet city,18,0,2
alphabet city-alphabet city,19,0,1
alphabet city-alphabet city,22,0,2
alphabet city-alphabet city,9,1,5
alphabet city-alphabet city,17,1,1
alphabet city-alphabet city,18,1,1
alphabet city-alphabet city,19,1,2
alphabet city-alphabet city,22,1,1
alphabet city-alphabet city,23,1,1
alphabet city-alphabet city,0,2,1
alphabet city-alphabet city,1,2,1
alphabet city-alphabet city,13,2,2
alphabet city-alphabet city,15,2,1
alphabet city-alphabet city,20,2,1
alphabet city-alphabet city,23,2,2
alphabet city-alphabet city,1,3,1
alphabet city-alphabet city,3,3,1
