od,hora_do_dia,dia_da_semana,n_viagens
allerton/pelham gardens-allerton/pelham gardens,4,0,1
allerton/pelham gardens-allerton/pelham gardens,5,0,1
allerton/pelham gardens-allerton/pelham gardens,6,0,2
allerton/pelham gardens-allerton/pelham gardens,9,0,2
allerton/pelham gardens-allerton/pelham gardens,10,0,1
allerton/pelham gardens-allerton/pelham gardens,16,0,1
allerton/pelham gardens-alphabet city,7,0,1
allerton/pelham gardens-alphabet city,8,0,1
allerton/pelham gardens-astoria,6,0,1
allerton/pelham gardens-astoria,17,0,1
allerton/pelham gardens-baisley park,4,0,1
allerton/pelham gardens-belmont,16,0,1
allerton/pelham gardens-bronx park,8,0,1
allerton/pelham gardens-bronxdale,6,0,2
allerton/pelham gardens-bronxdale,16,0,1
allerton/pelham gardens-brooklyn heights,5,0,1
allerton/pelham gardens-brooklyn heights,7,0,2
allerton/pelham gardens-brooklyn heights,9,0,1
allerton/pelham gardens-brownsville,7,0,1
allerton/pelham gardens-canarsie,19,0,1
allerton/pelham gardens-central harlem north,5,0,1
allerton/pelham gardens-central harlem north,8,0,3
allerton/pelham gardens-central harlem north,10,0,2
allerton/pelham gardens-central harlem north,14,0,2
allerton/pelham gardens-central harlem north,15,0,1
allerton/pelham gardens-central harlem north,16,0,1
allerton/pelham gardens-claremont/bathgate,7,0,2
allerton/pelham gardens-clinton east,10,0,1
allerton/pelham gardens-clinton east,15,0,1
allerton/pelham gardens-clinton hill,19,0,1
allerton/pelham gardens-clinton west,5,0,1
allerton/pelham gardens-clinton west,6,0,1
allerton/pelham gardens-clinton west,18,0,1
allerton/pelham gardens-co-op city,7,0,1
allerton/pelham gardens-co-op city,8,0,1
allerton/pelham gardens-co-op city,9,0,1
allerton/pelham gardens-co-op city,11,0,1
allerton/pelham gardens-co-op city,12,0,1
allerton/pelham gardens-co-op city,13,0,1
allerton/pelham gardens-co-op city,14,0,1
allerton/pelham gardens-co-op city,16,0,1
allerton/pelham gardens-crotona park east,11,0,1
allerton/pelham gardens-crown heights north,0,0,1
allerton/pelham gardens-crown heights north,10,0,1
allerton/pelham gardens-crown heights north,20,0,1
allerton/pelham gardens-dumbo/vinegar hill,17,0,1
allerton/pelham gardens-east chelsea,7,0,1
