od,hora_do_dia,dia_da_semana,n_viagens
east harlem south-manhattanville,13,0,5
midtown east-upper west side north,8,0,53
west village-brooklyn heights,8,0,1
stuy town/peter cooper village-west village,10,0,7
east chelsea-east chelsea,8,0,209
midtown east-prospect heights,0,0,1
prospect-lefferts gardens-jfk airport,14,0,1
brooklyn heights-east village,20,0,6
longwood-long island city/hunters point,23,0,1
laguardia airport-melrose south,15,0,4
midtown south-astoria,15,0,4
prospect-lefferts gardens-homecrest,18,0,1
flatiron-west concourse,16,0,2
lenox hill west-laguardia airport,5,0,40
corona-penn station/madison sq west,21,0,1
brooklyn heights-lincoln square west,18,0,3
jfk airport-cambria heights,7,0,20
east chelsea-belmont,12,0,1
canarsie-manhattan beach,15,0,1
kips bay-crown heights south,15,0,1
gramercy-crown heights north,15,0,1
sunset park east-brighton beach,7,0,1
west chelsea/hudson yards-inwood,2,0,1
gowanus-coney island,9,0,3
seaport-lower east side,0,0,20
stuyvesant heights-east chelsea,13,0,1
west chelsea/hudson yards-battery park city,4,0,5
central park-un/turtle bay south,19,0,23
meatpacking/west village west-washington heights north,16,0,2
hamilton heights-bloomingdale,9,0,4
west village-penn station/madison sq west,0,0,171
canarsie-queensbridge/ravenswood,4,0,1
lenox hill east-lincoln square east,3,0,3
laguardia airport-chinatown,12,0,20
upper west side south-old astoria,15,0,2
steinway-central park,20,0,1
far rockaway-highbridge,13,0,1
lower east side-stuy town/peter cooper village,22,0,37
soho-west chelsea/hudson yards,4,0,3
penn station/madison sq west-garment district,18,0,109
williamsburg (north side)-times sq/theatre district,22,0,1
flatbush/ditmas park-midwood,18,0,1
prospect-lefferts gardens-borough park,7,0,1
mott haven/port morris-south jamaica,19,0,1
oakland gardens-starrett city,9,0,1
murray hill-un/turtle bay south,10,0,125
springfield gardens south-east new york,23,0,1
washington heights south-central harlem north,19,0,10
seaport-meatpacking/west village west,22,0,8
bedford-canarsie,23,0,1
seaport-hollis,10,0,1
fort greene-astoria,3,0,1
financial district north-forest hills,20,0,2
kips bay-bensonhurst east,21,0,1
inwood hill park-union sq,11,0,1
east harlem north-belmont,15,0,2
lincoln square west-un/turtle bay south,9,0,16
