od,hora_do_dia,dia_da_semana,n_viagens
allerton/pelham gardens-allerton/pelham gardens,15,0,1
allerton/pelham gardens-allerton/pelham gardens,10,1,1
allerton/pelham gardens-allerton/pelham gardens,12,1,1
allerton/pelham gardens-allerton/pelham gardens,14,2,1
allerton/pelham gardens-allerton/pelham gardens,12,4,2
allerton/pelham gardens-belmont,6,5,1
allerton/pelham gardens-bronxdale,19,4,1
allerton/pelham gardens-bronxdale,6,5,1
allerton/pelham gardens-central harlem,8,2,1
allerton/pelham gardens-central harlem,22,2,1
allerton/pelham gardens-central harlem north,11,2,1
allerton/pelham gardens-clinton east,8,3,1
allerton/pelham gardens-co-op city,7,1,1
allerton/pelham gardens-co-op city,7,2,1
allerton/pelham gardens-co-op city,15,3,1
allerton/pelham gardens-co-op city,13,4,1
allerton/pelham gardens-co-op city,23,5,1
allerton/pelham gardens-crotona park east,15,2,1
allerton/pelham gardens-east concourse/concourse village,13,1,1
allerton/pelham gardens-east concourse/concourse village,6,2,1
allerton/pelham gardens-east concourse/concourse village,6,4,1
allerton/pelham gardens-east harlem north,9,0,1
allerton/pelham gardens-east harlem north,13,1,1
allerton/pelham gardens-east harlem north,5,3,1
allerton/pelham gardens-east harlem south,15,1,1
allerton/pelham gardens-east harlem south,11,4,1
allerton/pelham gardens-east harlem south,15,4,1
allerton/pelham gardens-east new york,19,2,1
allerton/pelham gardens-east tremont,8,3,1
allerton/pelham gardens-east tremont,20,5,1
allerton/pelham gardens-financial district south,3,2,2
allerton/pelham gardens-financial district south,4,3,1
allerton/pelham gardens-flatiron,4,0,1
allerton/pelham gardens-flatiron,5,3,1
allerton/pelham gardens-flatiron,7,3,1
allerton/pelham gardens-flatiron,4,4,1
allerton/pelham gardens-garment district,6,1,1
allerton/pelham gardens-hamilton heights,6,2,2
allerton/pelham gardens-hamilton heights,6,3,1
allerton/pelham gardens-hamilton heights,5,4,1
allerton/pelham gardens-hamilton heights,7,5,1
allerton/pelham gardens-jfk airport,13,4,1
allerton/pelham gardens-lenox hill east,11,1,1
allerton/pelham gardens-lenox hill east,11,2,1
allerton/pelham gardens-little italy/nolita,9,3,1
allerton/pelham gardens-melrose south,21,5,1
allerton/pelham gardens-murray hill,6,2,1
allerton/pelham gardens-norwood,15,0,1
allerton/pelham gardens-pelham parkway,3,0,1
allerton/pelham gardens-pelham parkway,20,3,1
allerton/pelham gardens-soundview/castle hill,6,2,1
allerton/pelham gardens-tribeca/civic center,5,0,1
allerton/pelham gardens-tribeca/civic center,6,1,1
allerton/pelham gardens-tribeca/civic center,5,2,1
allerton/pelham gardens-tribeca/civic center,6,2,1
allerton/pelham gardens-tribeca/civic center,6,3,1
allerton/pelham gardens-tribeca/civic center,6,4,1
allerton/pelham gardens-un/turtle bay south,11,3,1
allerton/pelham gardens-union sq,6,2,1
allerton/pelham gardens-union sq,6,3,1
