od,hora_do_dia,n_viagens_validacao_hora,n_viagens_sintetico_hora,validacao_pct,sintetico_pct,validacao_pct_por_od,sintetico_pct_por_od,similaridade_hora_dot
upper east side south-upper east side north,0,65,163,0.0032613396780606166,0.003770938831901957,0.4057428214731586,0.4965576067751173,0.06382993543758476
upper east side south-upper east side north,1,15,55,0.0007526168487832193,0.0012724026733411512,0.09363295880149813,0.16755011271553036,0.06382993543758476
upper east side south-upper east side north,2,11,23,0.0005519190224410274,0.0005320956633972087,0.0686641697877653,0.07006641077194907,0.06382993543758476
upper east side south-upper east side north,3,3,13,0.00015052336975664385,0.0003007497227897267,0.018726591760299626,0.0396027539145799,0.06382993543758476
upper east side south-upper east side north,4,2,18,0.0001003489131710959,0.0004164226930934677,0.012484394506866416,0.054834582343264486,0.06382993543758476
upper east side south-upper east side north,5,9,48,0.0004515701092699315,0.001110460514915914,0.05617977528089888,0.14622555291537195,0.06382993543758476
upper east side south-upper east side north,6,76,208,0.003813258700501644,0.004811995564635627,0.47440699126092384,0.6336440626332784,0.06382993543758476
upper east side south-upper east side north,7,542,957,0.027194555469366992,0.02213980651613603,3.383270911360799,2.9153719612502282,0.06382993543758476
upper east side south-upper east side north,8,632,1309,0.0317102565620663,0.0302831836255194,3.945068664169788,3.9876926826296226,0.06382993543758476
upper east side south-upper east side north,9,653,1353,0.032763920150362814,0.03130110576419232,4.076154806491885,4.121732772802047,0.06382993543758476
upper east side south-upper east side north,10,759,1593,0.038082412548430894,0.03685340833877189,4.737827715355805,4.852860537378907,0.06382993543758476
upper east side south-upper east side north,11,924,1948,0.04636119788504631,0.045066189230337506,5.7677902621722845,5.934320355815513,0.06382993543758476
upper east side south-upper east side north,12,999,2255,0.0501242821289624,0.052168509606987205,6.235955056179775,6.8695546213367455,0.06382993543758476
upper east side south-upper east side north,13,1139,2148,0.05714870605093912,0.049693108042487145,7.109862671660425,6.543593492962896,0.06382993543758476
