od,n_viagens_validacao,n_viagens_sintetico,participacao_validacao_pct,participacao_sintetico_pct,similaridade_hora_dot
upper east side south-upper east side north,16020,32826,0.8037947945004781,0.7594161846381206,0.06382993543758476
upper east side north-upper east side south,13593,28158,0.6820213883673533,0.651423899562548,0.06838291093232887
upper east side north-upper east side north,10577,21588,0.5306952273053407,0.49942961658343227,0.065576273127972
upper east side south-upper east side south,10540,21672,0.5288387724116754,0.5013729224845351,0.06440175344956689
midtown center-upper east side south,7257,14958,0.3641160314413215,0.34604725796067165,0.06737748613761267
upper east side south-midtown center,6621,13213,0.33220507705291297,0.30567739132466604,0.06396996600710173
midtown center-upper east side north,6018,12765,0.3019498797318275,0.29531309318545085,0.0674282414539903
upper east side south-midtown east,5511,11585,0.27651143024295477,0.26801427219376794,0.06106930800383774
upper west side south-lincoln square east,5156,11143,0.25869949815508525,0.2577887816189172,0.0642558997647272
upper east side north-midtown center,5139,10652,0.25784653239313093,0.2464296959350899,0.07314947135790988
lincoln square east-upper west side south,5113,11298,0.2565419965219067,0.2613746436983332,0.0642500553173617
jfk airport-jfk airport,4911,9891,0.246406756291626,0.2288242698548605,0.054509733369228555
laguardia airport-times sq/theatre district,4845,8962,0.24309524215697983,0.20733223197242542,0.06287344639872651
upper west side south-upper west side north,4777,10612,0.23968337910916254,0.24550431217265994,0.06043783817435932
jfk airport-times sq/theatre district,4626,10501,0.23210703616474482,0.24293637223191689,0.05978795670253627
lenox hill west-upper east side north,4576,10034,0.22959831333546743,0.23213251680554747,0.059918545302614465
midtown east-upper east side south,4397,9580,0.22061708560665436,0.2216294111019678,0.06304661605013477
upper east side north-lenox hill west,4363,9479,0.21891115408274572,0.21929281710183227,0.06502850783438023
midtown center-midtown center,4281,9179,0.21479684864273077,0.21235243888360777,0.06073754522137622
upper east side north-upper west side south,4194,8871,0.21043167091978812,0.20522698391289732,0.06541523184507535
lincoln square east-upper east side south,4188,8758,0.2101306241802748,0.20261277478403278,0.06154264088851606
upper east side north-midtown east,4177,8557,0.2095787051578338,0.19796272137782236,0.07065708082869991
upper east side north-upper west side north,4173,8305,0.20937800733149162,0.19213280367451385,0.06371783402172708
upper east side south-lenox hill west,4170,9114,0.20922748396173496,0.21084869026965913,0.06313769261088824
lincoln square east-upper east side north,4111,8493,0.20626719102318763,0.1964821073579345,0.06440936105951636
upper west side north-upper west side south,4084,9121,0.20491248069537785,0.2110106324280844,0.06444919276060099
upper east side south-lincoln square east,4050,8493,0.2032065491714692,0.1964821073579345,0.06766749087483812
upper west side south-upper east side north,4034,8091,0.20240375786610043,0.18718200054551373,0.058626841786723616
lincoln square east-upper west side north,4032,8909,0.2023034089529293,0.20610609848720576,0.0646871553556507
yorkville west-upper east side north,4016,8493,0.20150061764756055,0.1964821073579345,0.05826839820747623
midtown north-upper east side north,3935,7909,0.1974364866641312,0.18297150442645754,0.06374517763447396
midtown center-union sq,3918,8651,0.19658352090217687,0.20013737321953273,0.06481607197933312
midtown center-midtown south,3898,8268,0.19558003177046593,0.19127682369426616,0.06585215570834708
yorkville east-upper east side north,3871,8301,0.1942253214426561,0.19204026529827087,0.06370021807060373
penn station/madison sq west-times sq/theatre district,3856,9129,0.1934727045938729,0.21119570918057035,0.05237773903692078
midtown north-upper east side south,3842,8035,0.19277026220167523,0.18588646327811184,0.06478670392773418
penn station/madison sq west-midtown center,3805,8339,0.19091380730800997,0.1929193798725793,0.061583563387146406
upper east side north-lincoln square east,3788,8261,0.19006084154605563,0.1911148815358409,0.06919422786193878
upper east side south-yorkville west,3769,8346,0.18910752687093024,0.1930813220310045,0.0658897229196498
lenox hill east-upper east side north,3741,8364,0.1877026420865349,0.193497744724098,0.06393878705993061
midtown east-upper east side north,3735,7817,0.18740159534702158,0.1808431217728687,0.06349546409594713
lenox hill west-upper east side south,3701,7996,0.18569566382311298,0.18498421410974264,0.0625945572083529
upper east side south-lenox hill east,3558,7573,0.1785207165313796,0.17519828082204614,0.059666055712407476
upper east side north-yorkville west,3474,7206,0.17430606217819358,0.16670788480175155,0.06500176322711947
upper east side north-yorkville east,3468,7524,0.1740050154386803,0.1740646857130695,0.06610679734882977
upper west side south-upper west side south,3464,7894,0.17380431761233808,0.18262448551554633,0.06347097014659013
upper west side north-upper east side north,3448,7106,0.17300152630696933,0.16439442539567675,0.06243641202526149
upper east side north-lenox hill east,3438,7077,0.17249978174111386,0.16372352216791505,0.06373932286278676
lincoln square east-midtown center,3412,7041,0.1711952458698896,0.1628906767817281,0.05700650002922091
yorkville west-lenox hill west,3340,7376,0.16758268499573017,0.17064076579207876,0.05521532856196501
gramercy-murray hill,3304,6843,0.16577640455865045,0.15831002715769996,0.05337283748012763
midtown north-midtown center,3298,7081,0.16547535781913714,0.16381606054415804,0.06355899579748125
upper east side north-east harlem south,3298,6884,0.16547535781913714,0.15925854551419064,0.05869042178292691
lincoln square east-lincoln square east,3223,6964,0.16171227357522103,0.16110931303905052,0.06188566419240799
union sq-murray hill,3219,6913,0.16151157574887887,0.15992944874195233,0.0612872533242451
upper west side north-lincoln square east,3199,7055,0.1605080866171679,0.16321456109857857,0.06498301094712225
clinton east-east chelsea,3173,7373,0.15920355074594367,0.17057136200989653,0.05216621373313393
midtown center-midtown north,3162,6774,0.15865163172350263,0.15671374016750836,0.0593570180436528
upper east side south-upper west side south,3137,6478,0.1573972703088639,0.14986590032552688,0.06708190532916737
midtown center-times sq/theatre district,3124,6748,0.15674500237325178,0.1561122407219289,0.06327819804530692
penn station/madison sq west-murray hill,3122,6448,0.1566446534600807,0.14917186250370443,0.05202299418359738
lenox hill east-upper east side south,3117,6734,0.15639378117715297,0.1557883564050784,0.06667690017064413
upper east side south-midtown north,3084,6931,0.15473802410982987,0.1603458714350458,0.061303181012915715
midtown center-lenox hill west,3063,6865,0.15368436052153336,0.1588189882270364,0.07023765788554462
midtown center-murray hill,3060,6862,0.15353383715177674,0.15874958444485418,0.06410110240540402
midtown east-murray hill,3018,6175,0.1514265099751837,0.14285611832512016,0.0581801498700107
midtown east-lenox hill west,3017,6346,0.15137633551859817,0.14681213390950812,0.06297986167469329
upper east side south-sutton place/turtle bay north,3002,6656,0.15062371866981494,0.15398385806834006,0.06477937985253421
midtown center-lincoln square east,2970,6414,0.1490181360590774,0.148385286305639,0.07052039992482775
midtown center-penn station/madison sq west,2958,6323,0.14841604258005084,0.1462800382461109,0.06475516742005773
midtown south-midtown center,2957,6181,0.14836586812346528,0.14299492588948465,0.058308111130923254
upper east side south-yorkville east,2921,6263,0.14655958768638558,0.144891962602466,0.06528656614713838
times sq/theatre district-laguardia airport,2908,5033,0.14590731975077342,0.1164364119077457,0.06711549714115175
east chelsea-east chelsea,2904,6070,0.14570662192443126,0.1404269859487416,0.054550503537698386
laguardia airport-midtown center,2901,5907,0.1455560985546746,0.13665604711683965,0.06556141624573045
times sq/theatre district-penn station/madison sq west,2899,7284,0.1454557496415035,0.16851238313848993,0.05664198243670913
lenox hill west-lenox hill west,2887,6147,0.14485365616247692,0.1422083496914192,0.057587039256267854
lincoln square east-midtown north,2866,6270,0.14379999257418044,0.14505390476089125,0.05785823118985055
