dia_i,dia_j,similaridade,tipo
0,1,0.053285549890420024,intra_syn
0,2,0.05330629637798176,intra_syn
0,3,0.05332303143453857,intra_syn
0,4,0.053318916007013634,intra_syn
0,5,0.053403935087967716,intra_syn
0,6,0.05332320263684981,intra_syn
0,7,0.05336752360319731,intra_syn
0,8,0.053262045428036635,intra_syn
0,9,0.053346969145509134,intra_syn
1,2,0.053261005024999954,intra_syn
1,3,0.0532783688942114,intra_syn
1,4,0.0532742106949393,intra_syn
1,5,0.05335968490856948,intra_syn
1,6,0.05327859812688534,intra_syn
1,7,0.053321717777610196,intra_syn
1,8,0.0532201265894387,intra_syn
1,9,0.05330441627992077,intra_syn
2,3,0.053298972591102264,intra_syn
2,4,0.053292521836252965,intra_syn
2,5,0.05337902738017471,intra_syn
2,6,0.053297094117830346,intra_syn
2,7,0.053344239644839836,intra_syn
2,8,0.05323913818517986,intra_syn
2,9,0.053322776906040384,intra_syn
3,4,0.05330882675857093,intra_syn
3,5,0.05339623350496731,intra_syn
3,6,0.05331414195437402,intra_syn
3,7,0.05335981536058572,intra_syn
3,8,0.0532536004704817,intra_syn
3,9,0.05333903327248074,intra_syn
4,5,0.0533905894469194,intra_syn
4,6,0.05330938356733534,intra_syn
4,7,0.05335230161837231,intra_syn
4,8,0.05324946739995743,intra_syn
4,9,0.053334024169746294,intra_syn
5,6,0.05339607264151528,intra_syn
5,7,0.053444309470331734,intra_syn
5,8,0.05333519134835886,intra_syn
5,9,0.05342071107889464,intra_syn
6,7,0.053358605651274996,intra_syn
6,8,0.053252442038211896,intra_syn
6,9,0.05333990134582569,intra_syn
7,8,0.05330120841159031,intra_syn
7,9,0.05338460562119561,intra_syn
8,9,0.053279620496137055,intra_syn
