dia_i,dia_j,similaridade,tipo
0,1,0.050296519120987156,intra_val
0,2,0.05474903997394308,intra_val
0,3,0.054635590923007266,intra_val
0,4,0.05286645083788792,intra_val
0,5,0.05476783091909951,intra_val
0,6,0.05284317658561853,intra_val
0,7,0.05280299576391022,intra_val
0,8,0.05277899951015203,intra_val
0,9,0.053733127431576586,intra_val
1,2,0.05075581870677884,intra_val
1,3,0.05064260254662166,intra_val
1,4,0.05065519584295927,intra_val
1,5,0.050733654734817515,intra_val
1,6,0.05063959817061596,intra_val
1,7,0.050613007881713,intra_val
1,8,0.0506416639380471,intra_val
1,9,0.05048373082311794,intra_val
2,3,0.055661332616303634,intra_val
2,4,0.05351839014348726,intra_val
2,5,0.055900175590798185,intra_val
2,6,0.053489455766869996,intra_val
2,7,0.053443983406500875,intra_val
2,8,0.05340884851823922,intra_val
2,9,0.054844357976908384,intra_val
3,4,0.0533705423114093,intra_val
3,5,0.05566355546324763,intra_val
3,6,0.05333470884840656,intra_val
3,7,0.05329875661036138,intra_val
3,8,0.05325237058147673,intra_val
3,9,0.054416122754585676,intra_val
4,5,0.05352444208137464,intra_val
4,6,0.0524636316151865,intra_val
4,7,0.05242709683258866,intra_val
4,8,0.05242846510739338,intra_val
4,9,0.052867875241086465,intra_val
5,6,0.05349508421969452,intra_val
5,7,0.05344961042436258,intra_val
5,8,0.05341489958019967,intra_val
5,9,0.054875732331131945,intra_val
6,7,0.05241698296077656,intra_val
6,8,0.052420913444342444,intra_val
6,9,0.052873516253694484,intra_val
7,8,0.052383573460255344,intra_val
7,9,0.05282743060570006,intra_val
8,9,0.05280030755775736,intra_val
