dia_i,dia_j,similaridade,tipo
0,1,0.05350889213022522,intra_syn
0,2,0.05346365775158519,intra_syn
0,3,0.05345709125110659,intra_syn
0,4,0.05344023323420159,intra_syn
0,5,0.05345764711767254,intra_syn
0,6,0.053423524274910025,intra_syn
0,7,0.05346585672343662,intra_syn
0,8,0.053461262259530754,intra_syn
0,9,0.05341965630792257,intra_syn
1,2,0.053436778336222054,intra_syn
1,3,0.053437249601814105,intra_syn
1,4,0.05342084322714859,intra_syn
1,5,0.05344044206150537,intra_syn
1,6,0.05339948629093742,intra_syn
1,7,0.05344463453847652,intra_syn
1,8,0.05343688594398362,intra_syn
1,9,0.053403968318736623,intra_syn
2,3,0.05338128334424471,intra_syn
2,4,0.053376205781421,intra_syn
2,5,0.05339284595353107,intra_syn
2,6,0.05335646370050776,intra_syn
2,7,0.053393292220972395,intra_syn
2,8,0.05339088768067429,intra_syn
2,9,0.053350713871776,intra_syn
3,4,0.05336343620914452,intra_syn
3,5,0.05338433427883575,intra_syn
3,6,0.053347954767980765,intra_syn
3,7,0.05339098404270427,intra_syn
3,8,0.05338458628506712,intra_syn
3,9,0.053347829061604964,intra_syn
4,5,0.053373437394799786,intra_syn
4,6,0.05333581513457802,intra_syn
4,7,0.053371996880311696,intra_syn
4,8,0.05336916782533754,intra_syn
4,9,0.05333227025077741,intra_syn
5,6,0.053352873196451045,intra_syn
5,7,0.05339307171123034,intra_syn
5,8,0.05339024229721228,intra_syn
5,9,0.05335513688202964,intra_syn
6,7,0.05335722050390621,intra_syn
6,8,0.05334906546589031,intra_syn
6,9,0.05331168465767454,intra_syn
7,8,0.053390882343436565,intra_syn
7,9,0.05335588037935709,intra_syn
8,9,0.05334979660958951,intra_syn
