dia_i,dia_j,similaridade,tipo
0,1,0.053510201316312615,intra_val
0,2,0.05025272328364789,intra_val
0,3,0.054163610425404005,intra_val
0,4,0.05508314148865265,intra_val
0,5,0.05490868628958429,intra_val
0,6,0.05355851285305051,intra_val
0,7,0.05155726577432042,intra_val
0,8,0.05054204262643062,intra_val
0,9,0.05168884743672853,intra_val
1,2,0.05106887374447261,intra_val
1,3,0.05318982085719383,intra_val
1,4,0.05415166473847845,intra_val
1,5,0.05419398145676783,intra_val
1,6,0.052884825837435284,intra_val
1,7,0.05157474021390616,intra_val
1,8,0.05110049665966055,intra_val
1,9,0.05235940474084506,intra_val
2,3,0.049787996042349666,intra_val
2,4,0.050624805838089676,intra_val
2,5,0.050875853721621095,intra_val
2,6,0.049762451428619736,intra_val
2,7,0.049597564414004654,intra_val
2,8,0.05062894438715581,intra_val
2,9,0.051239879839694386,intra_val
3,4,0.05526014300032078,intra_val
3,5,0.05479558241989342,intra_val
3,6,0.05382075934582443,intra_val
3,7,0.05189726100189564,intra_val
3,8,0.0504241566916279,intra_val
3,9,0.0527595493081455,intra_val
4,5,0.055814899113099524,intra_val
4,6,0.05442474177964885,intra_val
4,7,0.05232876998707092,intra_val
4,8,0.051161396004103486,intra_val
4,9,0.052811509557989994,intra_val
5,6,0.05415213892721055,intra_val
5,7,0.052143048990192065,intra_val
5,8,0.051210533679729546,intra_val
5,9,0.05246490022737649,intra_val
6,7,0.05158326371909987,intra_val
6,8,0.0501691163764237,intra_val
6,9,0.05182347450588243,intra_val
7,8,0.04995825468196376,intra_val
7,9,0.05189509493202282,intra_val
8,9,0.05174103525969971,intra_val
