dia_i,dia_j,similaridade,tipo
0,1,0.0009434034271929621,intra_syn
0,2,0.0009383480161035741,intra_syn
0,3,0.0009364758674763269,intra_syn
0,4,0.0009361008828461654,intra_syn
0,5,0.0009424941446473905,intra_syn
0,6,0.0009422050872949,intra_syn
0,7,0.0009423593506289922,intra_syn
0,8,0.000934963081591892,intra_syn
0,9,0.000946593559595693,intra_syn
1,2,0.0009376463347562546,intra_syn
1,3,0.0009358445980532252,intra_syn
1,4,0.0009350876288053993,intra_syn
1,5,0.0009424789165425266,intra_syn
1,6,0.0009418724311343799,intra_syn
1,7,0.0009426839181006307,intra_syn
1,8,0.0009349827795217203,intra_syn
1,9,0.0009464455688161027,intra_syn
2,3,0.0009303155175854077,intra_syn
2,4,0.0009305262682262707,intra_syn
2,5,0.0009370997705513775,intra_syn
2,6,0.0009363860745956889,intra_syn
2,7,0.0009371995251704239,intra_syn
2,8,0.0009293667376255998,intra_syn
2,9,0.0009405233141904965,intra_syn
3,4,0.0009281206506775899,intra_syn
3,5,0.0009345684619681702,intra_syn
3,6,0.0009341340201810776,intra_syn
3,7,0.0009344005795000579,intra_syn
3,8,0.000927742349839819,intra_syn
3,9,0.0009387777365214486,intra_syn
4,5,0.0009344441431763407,intra_syn
4,6,0.0009335304359563217,intra_syn
4,7,0.000934473091281678,intra_syn
4,8,0.0009271813890480879,intra_syn
4,9,0.0009382297360117893,intra_syn
5,6,0.0009407049262219461,intra_syn
5,7,0.0009411162034793058,intra_syn
5,8,0.0009336665115004594,intra_syn
5,9,0.0009450279035842577,intra_syn
6,7,0.0009408538799994774,intra_syn
6,8,0.0009329300969641617,intra_syn
6,9,0.0009444987728062271,intra_syn
7,8,0.0009341547534876973,intra_syn
7,9,0.0009451387824448954,intra_syn
8,9,0.0009367453019398926,intra_syn
