Manhattan Beach,Manhattan Valley,Manhattanville,hour_of_day
0,45,4,0
0,55,11,2
0,60,12,4
0,43,16,6
0,59,7,8
0,32,6,10
0,33,4,12
1,31,7,14
0,19,11,16
0,23,2,18
0,8,2,20
0,9,3,22
1,15,0,24
0,10,5,26
0,15,1,28
0,19,2,30
0,11,1,32
0,15,1,34
0,13,0,36
0,7,1,38
0,13,0,40
0,12,0,42
0,17,1,44
0,17,1,46
0,22,4,48
0,19,1,50
0,47,0,52
0,44,2,54
0,32,2,56
0,44,1,58
0,36,3,60
0,42,4,62
0,21,3,64
0,28,1,66
0,28,0,68
0,21,2,70
0,21,1,72
0,17,2,74
0,13,1,76
0,9,2,78
0,8,0,80
0,8,0,82
0,4,1,84
0,6,1,86
0,3,1,88
0,4,0,90
0,5,0,92
0,2,1,94
0,3,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,1,1,8
0,1,0,10
0,0,0,12
0,3,0,14
0,14,1,16
0,16,1,18
0,2,1,20
0,9,1,22
1,9,0,24
0,20,3,26
0,26,5,28
0,18,4,30
0,33,1,32
0,25,3,34
0,32,1,36
1,30,1,38
0,26,4,40
0,36,4,42
0,36,0,44
0,44,5,46
2,37,3,48
0,29,2,50
0,39,2,52
0,51,4,54
1,40,4,56
0,56,3,58
0,40,5,60
0,51,1,62
0,22,4,64
1,17,0,66
0,29,1,68
0,37,2,70
0,19,2,72
0,26,4,74
0,13,0,76
1,10,1,78
0,15,1,80
0,7,0,82
0,11,2,84
0,9,3,86
0,12,0,88
0,10,2,90
0,4,0,92
0,2,1,94
0,3,0,0
0,1,0,2
0,2,1,4
0,3,1,6
0,5,0,8
1,2,1,10
0,1,3,12
0,4,0,14
0,2,0,16
0,5,0,18
0,7,1,20
0,9,1,22
0,4,1,24
0,14,1,26
0,23,7,28
0,43,2,30
0,49,6,32
2,39,3,34
0,41,7,36
1,34,2,38
0,51,2,40
2,38,2,42
1,39,3,44
1,44,3,46
0,58,4,48
1,50,2,50
0,41,2,52
0,38,2,54
1,29,3,56
1,34,3,58
0,30,2,60
0,42,6,62
0,48,4,64
0,38,5,66
0,25,6,68
0,33,1,70
0,35,6,72
0,27,3,74
0,17,3,76
0,20,2,78
0,25,1,80
0,13,1,82
0,14,0,84
0,7,1,86
0,10,1,88
0,13,2,90
0,3,2,92
0,4,1,94
0,6,1,0
0,6,1,2
0,2,0,4
0,0,1,6
0,0,0,8
0,0,0,10
0,0,0,12
0,2,0,14
0,4,0,16
0,7,0,18
0,1,2,20
0,5,0,22
0,13,0,24
0,23,6,26
1,28,3,28
0,38,3,30
0,45,4,32
0,38,2,34
0,36,4,36
0,49,2,38
1,33,2,40
0,34,3,42
1,33,3,44
0,27,4,46
1,50,4,48
0,35,4,50
0,44,2,52
1,53,3,54
0,47,2,56
0,45,4,58
1,78,12,60
1,79,21,62
0,107,21,64
0,99,20,66
0,92,21,68
0,99,12,70
0,73,15,72
1,78,16,74
0,50,10,76
0,44,7,78
0,32,10,80
0,32,8,82
0,34,5,84
1,20,6,86
0,32,9,88
0,24,4,90
0,19,3,92
0,12,0,94
0,0,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,0,0,14
0,0,0,16
0,0,0,18
0,0,0,20
0,0,0,22
0,0,0,24
0,0,0,26
0,0,0,28
0,0,0,30
0,0,0,32
0,0,0,34
0,0,0,36
0,0,0,38
0,0,0,40
0,0,0,42
0,0,0,44
0,0,0,46
0,0,0,48
0,0,0,50
0,0,0,52
0,0,0,54
0,0,0,56
0,0,0,58
0,0,0,60
0,0,0,62
0,0,0,64
0,0,0,66
0,0,0,68
0,0,0,70
0,0,0,72
0,0,0,74
0,0,0,76
0,0,0,78
0,0,0,80
0,0,0,82
0,0,0,84
0,0,0,86
0,0,0,88
0,0,0,90
0,0,0,92
0,0,0,94
0,0,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,0,0,14
0,0,0,16
0,0,0,18
0,0,0,20
0,0,0,22
0,0,0,24
0,0,0,26
0,0,0,28
0,0,0,30
0,0,0,32
0,0,0,34
0,0,0,36
0,0,0,38
0,0,0,40
0,0,0,42
0,0,0,44
0,0,0,46
0,0,0,48
0,0,0,50
0,0,0,52
0,0,0,54
0,0,0,56
0,0,0,58
0,0,0,60
0,0,0,62
0,0,0,64
0,0,0,66
0,0,0,68
0,0,0,70
0,0,0,72
0,0,0,74
0,0,0,76
0,0,0,78
0,0,0,80
0,0,0,82
0,0,0,84
0,0,0,86
0,0,0,88
0,0,0,90
0,0,0,92
0,0,0,94
0,0,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,0,0,14
0,0,0,16
0,0,0,18
0,0,0,20
0,0,0,22
0,0,0,24
0,0,0,26
0,0,0,28
0,0,0,30
0,0,0,32
0,0,0,34
0,0,0,36
0,0,0,38
0,0,0,40
0,0,0,42
0,0,0,44
0,0,0,46
0,0,0,48
0,0,0,50
0,0,0,52
0,0,0,54
0,0,0,56
0,0,0,58
0,0,0,60
0,0,0,62
0,0,0,64
0,0,0,66
0,0,0,68
0,0,0,70
0,0,0,72
0,0,0,74
0,0,0,76
0,0,0,78
0,0,0,80
0,0,0,82
0,0,0,84
0,0,0,86
0,0,0,88
0,0,0,90
0,0,0,92
0,0,0,94
0,7,0,0
0,1,1,2
0,0,0,4
1,0,0,6
0,0,0,8
0,1,0,10
0,5,1,12
0,5,1,14
0,1,0,16
0,1,0,18
0,4,0,20
0,6,1,22
0,11,2,24
0,16,4,26
0,31,4,28
0,48,3,30
0,37,2,32
0,43,5,34
1,34,2,36
0,33,3,38
0,32,5,40
0,33,2,42
0,33,3,44
0,38,3,46
1,44,1,48
2,39,0,50
0,28,4,52
0,37,4,54
0,43,6,56
0,29,2,58
0,35,0,60
1,38,3,62
0,38,2,64
0,38,0,66
0,29,4,68
1,35,2,70
0,53,9,72
0,55,8,74
0,46,9,76
0,26,4,78
0,21,6,80
0,14,3,82
1,17,0,84
0,12,1,86
0,10,7,88
0,10,5,90
0,6,7,92
1,6,0,94
0,4,0,0
0,2,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,1,0,12
0,0,1,14
0,1,1,16
0,3,0,18
