Manhattan Beach,Manhattan Valley,Manhattanville,hour_of_day
0,25,0,0
0,38,7,2
0,38,7,4
0,27,9,6
0,33,4,8
0,17,3,10
0,8,1,12
1,6,2,14
0,6,2,16
0,4,1,18
0,4,2,20
0,1,3,22
1,3,0,24
0,5,4,26
0,14,1,28
0,13,1,30
0,6,1,32
0,8,1,34
0,9,0,36
0,5,0,38
0,8,0,40
0,8,0,42
0,10,0,44
0,12,0,46
0,13,3,48
0,11,0,50
0,24,0,52
0,17,2,54
0,20,1,56
0,23,1,58
0,24,0,60
0,24,3,62
0,14,1,64
0,18,1,66
0,21,0,68
0,11,1,70
0,13,1,72
0,15,2,74
0,8,1,76
0,6,0,78
0,6,0,80
0,5,0,82
0,4,0,84
0,5,1,86
0,3,1,88
0,4,0,90
0,3,0,92
0,1,1,94
0,2,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,0,1,8
0,0,0,10
0,0,0,12
0,1,0,14
0,0,0,16
0,4,0,18
0,1,0,20
0,2,0,22
0,5,0,24
0,11,1,26
0,15,5,28
0,13,3,30
0,22,1,32
0,21,1,34
0,17,1,36
0,15,1,38
0,16,1,40
0,17,1,42
0,22,0,44
0,30,2,46
1,26,2,48
0,15,1,50
0,23,1,52
0,33,1,54
0,27,2,56
0,30,1,58
0,19,1,60
0,31,0,62
0,16,3,64
0,10,0,66
0,20,0,68
0,24,1,70
0,13,1,72
0,21,4,74
0,11,0,76
1,6,0,78
0,9,0,80
0,7,0,82
0,8,2,84
0,6,1,86
0,5,0,88
0,8,2,90
0,3,0,92
0,1,1,94
0,2,0,0
0,0,0,2
0,2,1,4
0,2,1,6
0,2,0,8
1,2,1,10
0,0,0,12
0,2,0,14
0,1,0,16
0,0,0,18
0,2,0,20
0,1,1,22
0,3,0,24
0,7,0,26
0,16,7,28
0,32,1,30
0,29,3,32
2,28,2,34
0,25,6,36
0,19,2,38
0,27,0,40
0,23,1,42
1,21,2,44
0,32,0,46
0,33,2,48
1,28,0,50
0,25,0,52
0,22,1,54
1,17,0,56
1,18,1,58
0,18,1,60
0,27,2,62
0,31,1,64
0,23,4,66
0,17,4,68
0,24,0,70
0,25,3,72
0,20,1,74
0,11,1,76
0,14,1,78
0,19,1,80
0,7,0,82
0,12,0,84
0,4,0,86
0,6,0,88
0,10,1,90
0,2,1,92
0,3,0,94
0,4,0,0
0,4,0,2
0,2,0,4
0,0,1,6
0,0,0,8
0,0,0,10
0,0,0,12
0,1,0,14
0,0,0,16
0,4,0,18
0,0,1,20
0,2,0,22
0,4,0,24
0,10,4,26
1,16,3,28
0,26,3,30
0,32,3,32
0,29,1,34
0,28,2,36
0,29,1,38
0,17,1,40
0,21,1,42
0,21,2,44
0,14,1,46
0,34,1,48
0,15,2,50
0,20,1,52
1,34,0,54
0,26,0,56
0,26,1,58
0,44,6,60
0,41,16,62
0,67,14,64
0,52,15,66
0,51,14,68
0,66,9,70
0,46,13,72
0,58,15,74
0,33,6,76
0,33,6,78
0,22,6,80
0,27,7,82
0,22,2,84
0,12,5,86
0,27,6,88
0,17,3,90
0,17,2,92
0,7,0,94
0,0,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,0,0,14
0,0,0,16
0,0,0,18
0,0,0,20
0,0,0,22
0,0,0,24
0,0,0,26
0,0,0,28
0,0,0,30
0,0,0,32
0,0,0,34
0,0,0,36
0,0,0,38
0,0,0,40
0,0,0,42
0,0,0,44
0,0,0,46
0,0,0,48
0,0,0,50
0,0,0,52
0,0,0,54
0,0,0,56
0,0,0,58
0,0,0,60
0,0,0,62
0,0,0,64
0,0,0,66
0,0,0,68
0,0,0,70
0,0,0,72
0,0,0,74
0,0,0,76
0,0,0,78
0,0,0,80
0,0,0,82
0,0,0,84
0,0,0,86
0,0,0,88
0,0,0,90
0,0,0,92
0,0,0,94
0,0,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,0,0,14
