Manhattan Beach,Manhattan Valley,Manhattanville,hour_of_day
0,20,4,0
0,17,4,2
0,22,5,4
0,16,7,6
0,26,3,8
0,15,3,10
0,25,3,12
0,25,5,14
0,13,9,16
0,19,1,18
0,4,0,20
0,8,0,22
0,12,0,24
0,5,1,26
0,1,0,28
0,6,1,30
0,5,0,32
0,7,0,34
0,4,0,36
0,2,1,38
0,5,0,40
0,4,0,42
0,7,1,44
0,5,1,46
0,9,1,48
0,8,1,50
0,23,0,52
0,27,0,54
0,12,1,56
0,21,0,58
0,12,3,60
0,18,1,62
0,7,2,64
0,10,0,66
0,7,0,68
0,10,1,70
0,8,0,72
0,2,0,74
0,5,0,76
0,3,2,78
0,2,0,80
0,3,0,82
0,0,1,84
0,1,0,86
0,0,0,88
0,0,0,90
0,2,0,92
0,1,0,94
0,1,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,1,0,8
0,1,0,10
0,0,0,12
0,2,0,14
0,14,1,16
0,12,1,18
0,1,1,20
0,7,1,22
1,4,0,24
0,9,2,26
0,11,0,28
0,5,1,30
0,11,0,32
0,4,2,34
0,15,0,36
1,15,0,38
0,10,3,40
0,19,3,42
0,14,0,44
0,14,3,46
1,11,1,48
0,14,1,50
0,16,1,52
0,18,3,54
1,13,2,56
0,26,2,58
0,21,4,60
0,20,1,62
0,6,1,64
1,7,0,66
0,9,1,68
0,13,1,70
0,6,1,72
0,5,0,74
0,2,0,76
0,4,1,78
0,6,1,80
0,0,0,82
0,3,0,84
0,3,2,86
0,7,0,88
0,2,0,90
0,1,0,92
0,1,0,94
0,1,0,0
0,1,0,2
0,0,0,4
0,1,0,6
0,3,0,8
0,0,0,10
0,1,3,12
0,2,0,14
0,1,0,16
0,5,0,18
0,5,1,20
0,8,0,22
0,1,1,24
0,7,1,26
0,7,0,28
0,11,1,30
0,20,3,32
0,11,1,34
0,16,1,36
1,15,0,38
0,24,2,40
2,15,1,42
0,18,1,44
1,12,3,46
0,25,2,48
0,22,2,50
0,16,2,52
0,16,1,54
0,12,3,56
0,16,2,58
0,12,1,60
0,15,4,62
0,17,3,64
0,15,1,66
0,8,2,68
0,9,1,70
0,10,3,72
0,7,2,74
0,6,2,76
0,6,1,78
0,6,0,80
0,6,1,82
0,2,0,84
0,3,1,86
0,4,1,88
0,3,1,90
0,1,1,92
0,1,1,94
0,2,1,0
0,2,1,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,1,0,14
0,4,0,16
0,3,0,18
0,1,1,20
0,3,0,22
0,9,0,24
0,13,2,26
0,12,0,28
0,12,0,30
0,13,1,32
0,9,1,34
0,8,2,36
0,20,1,38
1,16,1,40
0,13,2,42
1,12,1,44
0,13,3,46
1,16,3,48
0,20,2,50
0,24,1,52
0,19,3,54
0,21,2,56
0,19,3,58
1,34,6,60
1,38,5,62
0,40,7,64
0,47,5,66
0,41,7,68
0,33,3,70
0,27,2,72
1,20,1,74
0,17,4,76
0,11,1,78
0,10,4,80
0,5,1,82
0,12,3,84
1,8,1,86
0,5,3,88
0,7,1,90
0,2,1,92
0,5,0,94
0,0,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,0,0,14
0,0,0,16
0,0,0,18
0,0,0,20
0,0,0,22
0,0,0,24
0,0,0,26
0,0,0,28
0,0,0,30
0,0,0,32
0,0,0,34
0,0,0,36
0,0,0,38
0,0,0,40
0,0,0,42
0,0,0,44
0,0,0,46
0,0,0,48
0,0,0,50
0,0,0,52
0,0,0,54
0,0,0,56
0,0,0,58
0,0,0,60
0,0,0,62
0,0,0,64
0,0,0,66
0,0,0,68
0,0,0,70
0,0,0,72
0,0,0,74
0,0,0,76
0,0,0,78
0,0,0,80
0,0,0,82
0,0,0,84
0,0,0,86
0,0,0,88
0,0,0,90
0,0,0,92
0,0,0,94
0,0,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,0,0,14
0,0,0,16
0,0,0,18
0,0,0,20
0,0,0,22
0,0,0,24
0,0,0,26
0,0,0,28
0,0,0,30
0,0,0,32
0,0,0,34
0,0,0,36
0,0,0,38
0,0,0,40
0,0,0,42
0,0,0,44
0,0,0,46
0,0,0,48
0,0,0,50
0,0,0,52
0,0,0,54
0,0,0,56
0,0,0,58
0,0,0,60
0,0,0,62
0,0,0,64
0,0,0,66
0,0,0,68
0,0,0,70
0,0,0,72
0,0,0,74
0,0,0,76
0,0,0,78
0,0,0,80
0,0,0,82
0,0,0,84
0,0,0,86
0,0,0,88
0,0,0,90
0,0,0,92
0,0,0,94
0,0,0,0
0,0,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,0,0,14
0,0,0,16
0,0,0,18
0,0,0,20
0,0,0,22
0,0,0,24
0,0,0,26
0,0,0,28
0,0,0,30
0,0,0,32
0,0,0,34
0,0,0,36
0,0,0,38
0,0,0,40
0,0,0,42
0,0,0,44
0,0,0,46
0,0,0,48
0,0,0,50
0,0,0,52
0,0,0,54
0,0,0,56
0,0,0,58
0,0,0,60
0,0,0,62
0,0,0,64
0,0,0,66
0,0,0,68
0,0,0,70
0,0,0,72
0,0,0,74
0,0,0,76
0,0,0,78
0,0,0,80
0,0,0,82
0,0,0,84
0,0,0,86
0,0,0,88
0,0,0,90
0,0,0,92
0,0,0,94
0,3,0,0
0,1,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,1,0,10
0,5,0,12
0,3,1,14
0,1,0,16
0,0,0,18
0,3,0,20
0,2,1,22
0,6,1,24
0,7,2,26
0,12,1,28
0,17,0,30
0,13,0,32
0,13,3,34
1,10,0,36
0,18,1,38
0,8,3,40
0,14,2,42
0,10,1,44
0,20,1,46
1,18,0,48
0,19,0,50
0,9,1,52
0,12,3,54
0,17,3,56
0,10,0,58
0,8,0,60
0,19,2,62
0,15,1,64
0,17,0,66
0,11,3,68
0,8,1,70
0,19,4,72
0,12,0,74
0,17,2,76
0,7,3,78
0,8,0,80
0,6,1,82
1,5,0,84
0,5,1,86
0,7,4,88
0,4,0,90
0,5,1,92
1,2,0,94
0,2,0,0
0,1,0,2
0,0,0,4
0,0,0,6
0,0,0,8
0,0,0,10
0,0,0,12
0,0,1,14
0,1,1,16
0,0,0,18
0,8,1,20
0,10,0,22
0,13,2,24
