u_idx,v_idx,u_location_id,v_location_id
1,128,2,132
2,180,3,184
2,237,3,242
2,249,3,254
3,78,4,79
3,219,4,224
5,111,6,115
5,114,6,118
6,175,7,179
6,202,7,207
8,72,9,73
8,97,9,98
8,188,9,192
9,214,10,219
10,13,11,14
11,12,12,13
13,222,14,227
15,167,16,171
16,48,17,49
16,60,17,61
16,212,17,217
17,19,18,20
17,93,18,94
17,132,18,136
17,170,18,174
17,236,18,241
18,171,19,175
19,46,20,47
19,77,20,78
19,93,20,94
19,170,20,174
20,21,21,22
20,25,21,26
20,119,21,123
20,174,21,178
21,25,22,26
21,66,22,67
22,183,23,187
22,246,23,251
23,40,24,41
23,42,24,43
23,147,24,151
24,32,25,33
24,39,25,40
24,51,25,52
24,64,25,65
24,103,25,106
24,177,25,181
25,66,26,67
25,88,26,89
25,107,26,111
25,129,26,133
25,174,26,178
27,92,28,93
27,127,28,131
27,131,28,135
28,105,29,108
28,146,29,150
30,170,31,174
30,181,31,185
30,235,31,240
30,249,31,254
32,51,33,52
32,53,33,54
32,65,33,66
33,48,34,49
33,212,34,217
33,251,34,256
34,71,35,72
34,76,35,77
35,95,36,96
36,62,37,63
36,220,37,225
37,200,38,205
38,71,39,72
38,90,39,91
38,151,39,155
38,217,39,222
39,51,40,52
39,53,40,54
39,103,40,106
40,41,41,42
40,42,41,43
40,74,41,75
41,148,42,152
42,147,43,151
42,159,43,163
42,232,43,237
42,233,43,238
43,98,44,99
44,140,45,144
44,144,45,148
44,227,45,232
46,68,47,69
46,93,47,94
46,163,47,167
47,67,48,68
47,99,48,100
47,138,48,142
47,159,48,163
48,60,49,61
48,185,49,189
48,212,49,217
49,139,50,143
51,53,52,54
55,92,56,93
55,94,56,95
55,169,56,173
55,192,56,196
57,203,58,208
59,207,60,212
59,237,60,242
60,61,61,62
60,173,61,177
60,185,61,189
60,220,61,225
61,71,62,72
61,184,62,188
61,185,62,189
61,186,62,190
62,120,63,124
62,173,63,177
62,176,63,180
65,96,66,97
66,222,67,227
67,99,68,100
67,154,68,158
68,155,69,159
68,163,69,167
68,164,69,168
68,165,69,169
69,92,70,93
69,125,70,129
70,88,71,89
70,90,71,91
70,184,71,188
71,75,72,76
71,90,72,91
71,184,72,188
72,91,73,92
72,167,73,171
73,74,74,75
74,257,75,262
74,258,75,263
78,104,79,107
78,110,79,114
78,144,79,148
78,219,79,224
79,153,80,157
79,194,80,198
79,250,80,255
80,249,81,254
81,125,82,129
81,153,82,157
81,156,82,160
81,169,82,173
81,192,82,196
82,125,83,129
82,153,83,157
84,184,85,188
86,87,87,88
86,204,87,209
87,256,88,261
88,90,89,91
88,129,89,133
88,161,89,165
88,174,89,178
88,184,89,188
89,182,90,186
89,244,90,249
90,161,91,165
91,167,92,171
91,247,92,252
91,248,92,253
92,169,93,173
92,188,93,192
93,165,94,169
93,230,94,235
94,101,95,102
94,130,95,134
95,193,96,197
95,253,96,258
96,185,97,189
99,160,100,164
99,182,100,186
99,225,100,230
101,192,102,196
101,194,102,198
103,177,106,181
104,133,107,137
104,166,107,170
104,219,107,224
104,229,107,234
107,222,111,227
107,252,111,257
109,110,113,114
109,229,113,234
109,244,113,249
110,140,114,144
110,206,114,211
110,244,114,249
111,114,115,118
111,246,115,251
114,246,118,251
116,123,120,127
116,239,120,244
117,127,121,131
118,200,122,205
119,161,123,165
119,174,123,178
119,205,123,210
120,211,124,216
121,226,125,231
121,244,125,249
122,143,126,147
122,163,126,167
122,164,126,168
124,215,128,220
125,169,129,173
127,187,131,191
128,198,132,203
130,193,134,197
132,149,136,153
133,166,137,170
133,219,137,224
133,228,137,233
135,198,139,203
135,213,139,218
136,224,140,229
136,257,140,262
137,231,141,236
137,232,141,237
137,258,141,263
138,159,142,163
138,234,142,239
140,144,144,148
140,206,144,211
141,142,145,146
141,189,145,193
142,221,146,226
143,155,147,159
143,164,147,168
145,150,149,154
145,151,149,155
145,161,149,165
145,205,149,210
146,150,150,154
149,215,153,220
153,156,157,160
153,255,157,260
154,241,158,246
156,192,160,196
157,158,161,162
157,159,161,163
157,160,161,164
157,166,161,170
158,159,162,163
158,166,162,170
158,224,162,229
158,232,162,237
159,225,163,230
159,232,163,237
160,166,164,170
160,182,164,186
161,174,165,178
164,242,168,247
165,230,169,235
167,247,171,252
171,187,175,191
173,220,177,225
175,218,179,223
176,193,180,197
176,211,180,216
176,253,180,258
178,207,182,212
178,237,182,242
178,243,182,248
184,186,188,190
185,186,189,190
187,200,191,205
191,223,195,228
193,211,197,216
200,210,205,215
200,213,205,218
202,218,207,223
203,245,208,250
204,226,209,231
204,256,209,261
206,226,211,231
207,208,212,213
207,243,212,248
211,214,216,219
212,251,217,256
215,235,220,240
216,240,221,245
223,252,228,257
226,256,231,261
230,242,235,247
231,232,236,237
231,258,236,263
233,234,238,239
249,254,254,259
250,251,255,256
257,258,262,263
