u_idx,v_idx,u_location_id,v_location_id,edge_type,distance_m
1,29,2,30,gap_tol,0.0
1,128,2,132,strict,
2,31,3,32,gap_tol,0.0
2,50,3,51,strict,
2,80,3,81,gap_tol,0.0
2,180,3,184,strict,
2,181,3,185,gap_tol,0.0
2,238,3,242,strict,
2,250,3,254,strict,
3,78,4,79,strict,
3,144,4,148,strict,
3,220,4,224,strict,
3,228,4,232,gap_tol,0.0
4,83,5,84,gap_tol,0.0
4,98,5,99,gap_tol,0.0
4,200,5,204,gap_tol,0.0
5,111,6,115,strict,
5,114,6,118,strict,
5,210,6,214,gap_tol,0.0
5,217,6,221,gap_tol,0.0
6,142,7,146,gap_tol,0.0
6,175,7,179,strict,
6,189,7,193,gap_tol,0.0
6,203,7,207,strict,
6,219,7,223,gap_tol,0.0
6,222,7,226,gap_tol,0.0
6,256,7,260,gap_tol,0.0
7,175,8,179,gap_tol,0.0
7,219,8,223,gap_tol,0.0
8,15,9,16,gap_tol,0.0
8,72,9,73,strict,
8,97,9,98,strict,
8,117,9,121,strict,
8,167,9,171,gap_tol,0.0
8,188,9,192,strict,
9,201,10,205,gap_tol,0.0
9,211,10,215,gap_tol,0.0
9,212,10,216,gap_tol,0.0
9,214,10,218,gap_tol,0.0
9,215,10,219,strict,
10,13,11,14,strict,
10,21,11,22,gap_tol,0.0
10,66,11,67,gap_tol,0.0
11,12,12,13,strict,
11,87,12,88,gap_tol,0.0
11,257,12,261,gap_tol,0.0
12,227,13,231,gap_tol,0.0
12,257,13,261,gap_tol,0.0
13,66,14,67,gap_tol,0.0
13,223,14,227,strict,
13,224,14,228,gap_tol,0.0
14,15,15,16,gap_tol,0.0
14,167,15,171,gap_tol,0.0
14,248,15,252,gap_tol,0.0
15,63,16,64,gap_tol,0.0
15,97,16,98,gap_tol,0.0
15,167,16,171,strict,
15,171,16,175,gap_tol,0.0
16,36,17,37,gap_tol,0.0
16,48,17,49,strict,
16,60,17,61,strict,
16,79,17,80,gap_tol,0.0
16,213,17,217,strict,
16,221,17,225,gap_tol,0.0
17,19,18,20,strict,
17,93,18,94,strict,
17,132,18,136,strict,
17,170,18,174,strict,
17,237,18,241,strict,
18,63,19,64,gap_tol,0.0
18,100,19,101,gap_tol,0.0
18,171,19,175,strict,
18,187,19,191,gap_tol,0.0
19,30,20,31,gap_tol,0.0
19,46,20,47,strict,
19,77,20,78,strict,
19,93,20,94,strict,
19,170,20,174,strict,
20,21,21,22,strict,
20,25,21,26,strict,
20,105,21,108,gap_tol,0.0
20,119,21,123,strict,
20,174,21,178,strict,
21,25,22,26,strict,
21,66,22,67,strict,
22,98,23,99,gap_tol,0.0
22,114,23,118,gap_tol,0.0
22,152,23,156,gap_tol,0.0
22,183,23,187,strict,
22,247,23,251,strict,
23,40,24,41,strict,
23,42,24,43,strict,
23,147,24,151,strict,
23,162,24,166,gap_tol,0.0
24,32,25,33,strict,
24,39,25,40,strict,
24,51,25,52,strict,
24,64,25,65,strict,
24,96,25,97,gap_tol,0.0
24,103,25,106,strict,
24,177,25,181,strict,
25,66,26,67,strict,
25,88,26,89,strict,
25,107,26,111,strict,
25,129,26,133,strict,
25,174,26,178,strict,
25,223,26,227,gap_tol,0.0
26,197,27,201,gap_tol,0.0
27,92,28,93,strict,
27,117,28,121,gap_tol,0.0
27,126,28,130,gap_tol,0.0
27,127,28,131,strict,
27,130,28,134,gap_tol,0.0
27,131,28,135,strict,
27,193,28,197,strict,
28,54,29,55,gap_tol,0.0
28,105,29,108,strict,
28,119,29,123,gap_tol,0.0
28,146,29,150,strict,
28,206,29,210,gap_tol,0.0
30,31,31,32,gap_tol,0.0
30,77,31,78,gap_tol,0.0
30,170,31,174,gap_tol,0.0
30,181,31,185,strict,
30,236,31,240,strict,
30,238,31,242,gap_tol,0.0
30,250,31,254,strict,
31,181,32,185,gap_tol,0.0
31,250,32,254,gap_tol,0.0
32,51,33,52,strict,
32,53,33,54,strict,
32,64,33,65,gap_tol,0.0
32,65,33,66,strict,
33,48,34,49,strict,
33,65,34,66,gap_tol,0.0
33,96,34,97,gap_tol,0.0
33,213,34,217,strict,
