tipo_dado,metrica,valor,nc,epochs,seed
real,R²,0.5116702914237976,40,50,82
real,MAE,1183.2130126953125,40,50,82
real,RMSE,1476.1306683352934,40,50,82
real,MAPE,44.92005407810211,40,50,82
synthetic,R²,-6.795797348022461,40,50,82
synthetic,MAE,5352.484375,40,50,82
synthetic,RMSE,5897.914885788027,40,50,82
synthetic,MAPE,116.29246473312378,40,50,82
real+synthetic,R²,0.041214942932128906,40,50,82
real+synthetic,MAE,1729.4285888671875,40,50,82
real+synthetic,RMSE,2068.3729112517403,40,50,82
real+synthetic,MAPE,39.4264817237854,40,50,82
real,R²,0.6432525515556335,40,80,82
real,MAE,999.0626220703125,40,80,82
real,RMSE,1261.6783960264993,40,80,82
real,MAPE,35.401493310928345,40,80,82
synthetic,R²,0.32864052057266235,40,80,82
synthetic,MAE,1378.4549560546875,40,80,82
synthetic,RMSE,1730.7956262944508,40,80,82
synthetic,MAPE,36.64729595184326,40,80,82
real+synthetic,R²,0.5469780564308167,40,80,82
real+synthetic,MAE,1166.9002685546875,40,80,82
real+synthetic,RMSE,1421.7650561889611,40,80,82
real+synthetic,MAPE,31.292372941970825,40,80,82
real,R²,0.20044827461242676,40,100,82
real,MAE,1401.6795654296875,40,100,82
real,RMSE,1888.8240389194543,40,100,82
real,MAPE,37.533414363861084,40,100,82
synthetic,R²,0.12251269817352295,40,100,82
synthetic,MAE,1563.3358154296875,40,100,82
synthetic,RMSE,1978.739560932666,40,100,82
synthetic,MAPE,42.88188815116882,40,100,82
real+synthetic,R²,0.6049617528915405,40,100,82
real+synthetic,MAE,1039.33056640625,40,100,82
real+synthetic,RMSE,1327.662843119442,40,100,82
real+synthetic,MAPE,38.16841244697571,40,100,82
real,R²,0.30992913246154785,40,150,82
real,MAE,1310.3853759765625,40,150,82
real,RMSE,1754.7491986036066,40,150,82
real,MAPE,42.60414242744446,40,150,82
synthetic,R²,0.591168999671936,40,150,82
synthetic,MAE,1094.153564453125,40,150,82
synthetic,RMSE,1350.6416067928606,40,150,82
synthetic,MAPE,39.184144139289856,40,150,82
real+synthetic,R²,0.6372454166412354,40,150,82
real+synthetic,MAE,995.7428588867188,40,150,82
real+synthetic,RMSE,1272.2564599953894,40,150,82
