tipo_dado,metrica,valor,nc,epochs,seed
real,R²,0.6025062203407288,20,100,62
real,MAE,1064.6163330078125,20,100,62
real,RMSE,1331.7827337820536,20,100,62
real,MAPE,38.98831009864807,20,100,62
synthetic,R²,0.4218798875808716,20,100,62
synthetic,MAE,1291.2396240234375,20,100,62
synthetic,RMSE,1606.1172902375467,20,100,62
synthetic,MAPE,34.00021493434906,20,100,62
real+synthetic,R²,0.5304419994354248,20,100,62
real+synthetic,MAE,1179.278564453125,20,100,62
real+synthetic,RMSE,1447.480915245517,20,100,62
real+synthetic,MAPE,34.365442395210266,20,100,62
real,R²,0.6502583622932434,20,150,62
real,MAE,1008.1639404296875,20,150,62
real,RMSE,1249.228561953336,20,150,62
real,MAPE,33.64540934562683,20,150,62
synthetic,R²,0.009167790412902832,20,150,62
synthetic,MAE,1455.5479736328125,20,150,62
synthetic,RMSE,2102.6562962120083,20,150,62
synthetic,MAPE,39.39901292324066,20,150,62
real+synthetic,R²,0.5935100317001343,20,150,62
real+synthetic,MAE,1104.3232421875,20,150,62
real+synthetic,RMSE,1346.7690967645492,20,150,62
real+synthetic,MAPE,32.795944809913635,20,150,62
real,R²,0.5122513771057129,20,100,83
real,MAE,1198.253173828125,20,100,83
real,RMSE,1475.2521818319742,20,100,83
real,MAPE,31.71350061893463,20,100,83
synthetic,R²,0.29032081365585327,20,100,83
synthetic,MAE,1397.140625,20,100,83
synthetic,RMSE,1779.5051980817589,20,100,83
synthetic,MAPE,39.522817730903625,20,100,83
real+synthetic,R²,0.11119145154953003,20,100,83
real+synthetic,MAE,1578.74853515625,20,100,83
real+synthetic,RMSE,1991.4634694113774,20,100,83
real+synthetic,MAPE,38.60567808151245,20,100,83
real,R²,0.6018532514572144,20,150,83
real,MAE,1089.7911376953125,20,150,83
real,RMSE,1332.8762133071473,20,150,83
real,MAPE,34.074318408966064,20,150,83
synthetic,R²,0.5925615429878235,20,150,83
synthetic,MAE,1088.0989990234375,20,150,83
synthetic,RMSE,1348.3394416837327,20,150,83
synthetic,MAPE,38.79191875457764,20,150,83
real+synthetic,R²,-0.30198991298675537,20,150,83
real+synthetic,MAE,1692.0369873046875,20,150,83
real+synthetic,RMSE,2410.3051674010076,20,150,83
real+synthetic,MAPE,45.96675634384155,20,150,83
real,R²,0.5289031863212585,20,100,105
real,MAE,1177.2894287109375,20,100,105
real,RMSE,1449.850768182712,20,100,105
real,MAPE,34.93589758872986,20,100,105
synthetic,R²,0.5963018536567688,20,100,105
synthetic,MAE,1105.328857421875,20,100,105
synthetic,RMSE,1342.1362170063067,20,100,105
synthetic,MAPE,37.09007799625397,20,100,105
real+synthetic,R²,0.44964706897735596,20,100,105
real+synthetic,MAE,1164.1680908203125,20,100,105
real+synthetic,RMSE,1567.0717118243185,20,100,105
real+synthetic,MAPE,38.43991756439209,20,100,105
real,R²,0.627517580986023,20,150,105
real,MAE,1056.488037109375,20,150,105
real,RMSE,1289.2024181640368,20,150,105
real,MAPE,31.319069862365723,20,150,105
synthetic,R²,0.5681954026222229,20,150,105
synthetic,MAE,1127.7862548828125,20,150,105
