tipo_dado,metrica,valor,nc,epochs,seed
real,R²,-6.6250762939453125,25,50,8165085627228038417
real,MAE,6792.9697265625,25,50,8165085627228038417
real,RMSE,7661.0461426622405,25,50,8165085627228038417
synthetic,R²,-0.9876581430435181,25,50,8165085627228038417
synthetic,MAE,974.2020874023438,25,50,8165085627228038417
synthetic,RMSE,2672.362531543952,25,50,8165085627228038417
real+synthetic,R²,-0.8534101247787476,25,50,8165085627228038417
real+synthetic,MAE,1150.5213623046875,25,50,8165085627228038417
real+synthetic,RMSE,3258.130292054018,25,50,8165085627228038417
real,R²,-7.382909774780273,25,50,4386549207554098690
real,MAE,7082.7373046875,25,50,4386549207554098690
real,RMSE,8032.733781222928,25,50,4386549207554098690
synthetic,R²,-0.7729226350784302,25,50,4386549207554098690
synthetic,MAE,977.3126831054688,25,50,4386549207554098690
synthetic,RMSE,2523.884109859246,25,50,4386549207554098690
real+synthetic,R²,-0.7650102376937866,25,50,4386549207554098690
real+synthetic,MAE,1161.53271484375,25,50,4386549207554098690
real+synthetic,RMSE,3179.48156151282,25,50,4386549207554098690
real,R²,-2.3546361923217773,25,50,1474454666229025352
real,MAE,4348.4755859375,25,50,1474454666229025352
real,RMSE,5081.46199434769,25,50,1474454666229025352
synthetic,R²,0.0397985577583313,25,50,1474454666229025352
synthetic,MAE,685.9790649414062,25,50,1474454666229025352
synthetic,RMSE,1857.4010740817396,25,50,1474454666229025352
real+synthetic,R²,-0.10757052898406982,25,50,1474454666229025352
real+synthetic,MAE,838.1539306640625,25,50,1474454666229025352
real+synthetic,RMSE,2518.6533107992454,25,50,1474454666229025352
real,R²,-0.8181663751602173,25,50,2457256633015579202
real,MAE,3187.79833984375,25,50,2457256633015579202
real,RMSE,3740.9576314093697,25,50,2457256633015579202
synthetic,R²,0.22561389207839966,25,50,2457256633015579202
synthetic,MAE,605.3724365234375,25,50,2457256633015579202
synthetic,RMSE,1668.027877464882,25,50,2457256633015579202
real+synthetic,R²,0.1657896637916565,25,50,2457256633015579202
real+synthetic,MAE,743.0410766601562,25,50,2457256633015579202
real+synthetic,RMSE,2185.8506353362754,25,50,2457256633015579202
real,R²,-0.17974770069122314,25,100,947495260518434123
real,MAE,2601.946533203125,25,100,947495260518434123
real,RMSE,3013.4261232026247,25,100,947495260518434123
synthetic,R²,-0.045920491218566895,25,100,947495260518434123
synthetic,MAE,722.3218383789062,25,100,947495260518434123
synthetic,RMSE,1938.53591661336,25,100,947495260518434123
real+synthetic,R²,0.016726315021514893,25,100,947495260518434123
real+synthetic,MAE,845.0252075195312,25,100,947495260518434123
real+synthetic,RMSE,2373.1210462174067,25,100,947495260518434123
real,R²,-1.7232623100280762,25,100,15749814076330975890
real,MAE,3943.337158203125,25,100,15749814076330975890
real,RMSE,4578.368049862309,25,100,15749814076330975890
synthetic,R²,-0.24635863304138184,25,100,15749814076330975890
synthetic,MAE,750.0181884765625,25,100,15749814076330975890
synthetic,RMSE,2116.148033574211,25,100,15749814076330975890
real+synthetic,R²,-0.1388542652130127,25,100,15749814076330975890
real+synthetic,MAE,870.1516723632812,25,100,15749814076330975890
real+synthetic,RMSE,2553.975724238584,25,100,15749814076330975890
real,R²,0.07220256328582764,25,100,2429852493464583943
real,MAE,2394.40966796875,25,100,2429852493464583943
real,RMSE,2672.345318255109,25,100,2429852493464583943
synthetic,R²,0.010877430438995361,25,100,2429852493464583943
synthetic,MAE,660.4591064453125,25,100,2429852493464583943
synthetic,RMSE,1885.1659078181951,25,100,2429852493464583943
real+synthetic,R²,-0.08691179752349854,25,100,2429852493464583943
real+synthetic,MAE,838.9346313476562,25,100,2429852493464583943
real+synthetic,RMSE,2495.053406242039,25,100,2429852493464583943
real,R²,-1.5565216541290283,25,100,8176872492526310566
real,MAE,3768.567626953125,25,100,8176872492526310566
real,RMSE,4435.991659144548,25,100,8176872492526310566
synthetic,R²,-0.03567790985107422,25,100,8176872492526310566
synthetic,MAE,673.2469482421875,25,100,8176872492526310566
synthetic,RMSE,1929.0206712215397,25,100,8176872492526310566
real+synthetic,R²,-0.08028817176818848,25,100,8176872492526310566
real+synthetic,MAE,824.1498413085938,25,100,8176872492526310566
real+synthetic,RMSE,2487.4393459941894,25,100,8176872492526310566
real,R²,-0.009172677993774414,25,150,15208065653162049108
real,MAE,2345.378173828125,25,150,15208065653162049108
real,RMSE,2787.075528219499,25,150,15208065653162049108
synthetic,R²,0.26950567960739136,25,150,15208065653162049108
synthetic,MAE,593.7139282226562,25,150,15208065653162049108
synthetic,RMSE,1620.0668967669205,25,150,15208065653162049108
real+synthetic,R²,0.29713135957717896,25,150,15208065653162049108
real+synthetic,MAE,710.1084594726562,25,150,15208065653162049108
real+synthetic,RMSE,2006.4104141476141,25,150,15208065653162049108
real,R²,0.426235556602478,25,150,9724708639402260678
real,MAE,1641.1246337890625,25,150,9724708639402260678
real,RMSE,2101.5164762618447,25,150,9724708639402260678
synthetic,R²,0.35377711057662964,25,150,9724708639402260678
synthetic,MAE,609.7523803710938,25,150,9724708639402260678
synthetic,RMSE,1523.756870370073,25,150,9724708639402260678
real+synthetic,R²,0.36887937784194946,25,150,9724708639402260678
real+synthetic,MAE,724.3668823242188,25,150,9724708639402260678
