[THT-TripGen] run_tag=tht_tripgen_20260130_135050
[THT-TripGen] train_rows=4366407 val_rows=797134 hold_rows=1221670
[Epoch 001] train_nll=10.8169 val_nll=10.7654
[Epoch 002] train_nll=10.7411 val_nll=10.7458
[Epoch 003] train_nll=10.7302 val_nll=10.7393
[Epoch 004] train_nll=10.7238 val_nll=10.7356
[Epoch 005] train_nll=10.7194 val_nll=10.7342
[Epoch 006] train_nll=10.7162 val_nll=10.7317
[Epoch 007] train_nll=10.7136 val_nll=10.7302
[Epoch 008] train_nll=10.7116 val_nll=10.7296
[Epoch 009] train_nll=10.7099 val_nll=10.7273
[Epoch 010] train_nll=10.7083 val_nll=10.7279
[Epoch 011] train_nll=10.7071 val_nll=10.7272
[Epoch 012] train_nll=10.7076 val_nll=10.7290
[Epoch 013] train_nll=10.7231 val_nll=10.7350
[Epoch 014] train_nll=nan val_nll=nan
