record_type,metric_family,metric_key,metric_label,direction,run_section,value,value_type,lower_is_better,status,source_file,tooltip_id,description
metric_point,od,od_jsd,OD JSD,synth->val,strategy_val,0.013528526,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,od_jsd,Distribution mismatch between OD marginals.
metric_point,od,od_jsd,OD JSD,synth->hold,strategy_hold,0.0118150062,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,od_jsd,Distribution mismatch between OD marginals.
metric_point,od,od_jsd,OD JSD,hold->val,strategy_hold_vs_val_real,0.0090266553,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_hold_vs_val_real.json,od_jsd,Distribution mismatch between OD marginals.
metric_point,od,od_chi2,OD Chi²,synth->val,strategy_val,37150.658811477,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,od_chi2,OD chi-square divergence for synthetic vs real.
metric_point,od,od_chi2,OD Chi²,synth->hold,strategy_hold,19318.3398390193,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,od_chi2,OD chi-square divergence for synthetic vs real.
metric_point,od,od_chi2,OD Chi²,hold->val,strategy_hold_vs_val_real,19951.7909572768,float,True,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_hold_vs_val_real.json,od_chi2,OD chi-square divergence for synthetic vs real.
metric_point,od,od_coverage_real,OD coverage (real),synth->val,strategy_val,0.6656170441,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,od_coverage_real,Real OD support coverage (higher is better).
metric_point,od,od_coverage_real,OD coverage (real),synth->hold,strategy_hold,0.6817080394,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,od_coverage_real,Real OD support coverage (higher is better).
metric_point,od,od_coverage_real,OD coverage (real),hold->val,strategy_hold_vs_val_real,0.6291529805,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_hold_vs_val_real.json,od_coverage_real,Real OD support coverage (higher is better).
metric_point,od,od_coverage_synth,OD coverage (synth),synth->val,strategy_val,0.6039513678,float,False,ok,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,od_coverage_synth,Synthetic OD support coverage (higher is better).
