metric_id,metric_name,metric_family,description,preferred_direction,lower_is_better
od_jsd,OD JSD,od,Distribution mismatch between OD marginals.,smaller is better,true
od_chi2,OD Chi²,od,OD chi-square divergence for synthetic vs real.,smaller is better,true
od_coverage_real,OD coverage (real),od,Real OD support coverage (higher is better).,larger is better,false
od_coverage_synth,OD coverage (synth),od,Synthetic OD support coverage (higher is better).,larger is better,false
od_unique_real,OD unique modes (real),od,Unique OD modes observed in the real distribution.,larger is better,false
od_unique_synth,OD unique modes (synth),od,Unique OD modes generated by synthetic samples.,larger is better,false
joint_jsd,Joint JSD,joint,Joint OD+time distribution mismatch.,smaller is better,true
joint_chi2,Joint Chi²,joint,Joint OD+time chi-square divergence.,smaller is better,true
joint_coverage_real,Joint coverage (real),joint,Real joint support coverage (higher is better).,larger is better,false
joint_coverage_synth,Joint coverage (synth),joint,Synthetic joint support coverage (higher is better).,larger is better,false
joint_unique_real,Joint unique modes (real),joint,Unique OD+time mode count for real data.,larger is better,false
joint_unique_synth,Joint unique modes (synth),joint,Unique OD+time mode count for synthetic data.,larger is better,false
joint_mode_dropping_ratio,Joint mode dropping ratio,joint,Portion of real joint modes that disappear in synthetic.,smaller is better,true
joint_invalid_ratio,Joint invalid ratio,joint,Portion of invalid OD pairs in synthetic samples.,smaller is better,true
passenger_count_jsd,passenger_count JSD,passenger,Distribution mismatch for passenger_count between real and synthetic.,smaller is better,true
passenger_count_chi2,passenger_count Chi²,passenger,Chi-square mismatch for passenger_count counts.,smaller is better,true
total_amount_log1p_w1,total_amount log1p Wasserstein-1,fare,Wasserstein-1 distance for log1p(total_amount) distribution.,smaller is better,true
total_amount_log1p_ks,total_amount log1p KS,fare,KS statistic for log1p(total_amount) distribution.,smaller is better,true
total_amount_log1p_quantile_mae,total_amount log1p quantile MAE,fare,Log1p quantile MAE for total_amount distribution.,smaller is better,true
total_amount_log1p_median_mae_by_hour,total_amount log1p median MAE by hour,fare,Hourly median profile MAE for log1p(total_amount).,smaller is better,true
total_amount_log1p_median_mae_by_passenger_count,total_amount log1p median MAE by passenger_count,fare,Profile MAE for log1p(total_amount) by passenger_count bins.,smaller is better,true
exact_match_rate_discrete,Exact match rate (discrete),residual,Exact-match privacy rate in discrete OD/time space.,larger is better,false
exact_match_rate_with_r_rounded,Exact match rate with r rounded,residual,Exact-match privacy rate after residual (r) rounding.,larger is better,false
cov_te_syn_ext,cov te syn extended,residual,Residual-aware extended metric from cov_te_syn_ext.,larger is better,false
cov_tr_syn_ext,cov tr syn extended,residual,Residual-aware extended metric from cov_tr_syn_ext.,larger is better,false
cov_tr_te_ext,cov tr te extended,residual,Residual-aware extended metric from cov_tr_te_ext.,larger is better,false
dcr_hold_syn_p005_ext,dcr hold syn p005 extended,residual,Residual-aware extended metric from dcr_hold_syn_p005_ext.,smaller is better,true
dcr_hold_syn_p01_ext,dcr hold syn p01 extended,residual,Residual-aware extended metric from dcr_hold_syn_p01_ext.,smaller is better,true
dcr_hold_syn_p05_ext,dcr hold syn p05 extended,residual,Residual-aware extended metric from dcr_hold_syn_p05_ext.,smaller is better,true
dcr_tr_syn_p005_ext,dcr tr syn p005 extended,residual,Residual-aware extended metric from dcr_tr_syn_p005_ext.,smaller is better,true
dcr_tr_syn_p01_ext,dcr tr syn p01 extended,residual,Residual-aware extended metric from dcr_tr_syn_p01_ext.,smaller is better,true
dcr_tr_syn_p05_ext,dcr tr syn p05 extended,residual,Residual-aware extended metric from dcr_tr_syn_p05_ext.,smaller is better,true
rdcr_p005_ext,rdcr p005 extended,residual,Residual-aware extended metric from rdcr_p005_ext.,smaller is better,true
rdcr_p01_ext,rdcr p01 extended,residual,Residual-aware extended metric from rdcr_p01_ext.,smaller is better,true
rdcr_p05_ext,rdcr p05 extended,residual,Residual-aware extended metric from rdcr_p05_ext.,smaller is better,true
comparison_summary__abs_gap_to_hold_val,Abs gap from hold->val,derived,Absolute difference between synth->val and hold->val. Lower suggests synthetic is close to real split drift.,smaller is better,true
comparison_summary__relative_gap_to_hold_val,Relative gap from hold->val,derived,Absolute gap normalized by hold->val. Helps compare scale across metrics.,smaller is better,true
comparison_summary__generalization_shift,Generalization shift,derived,How much synth->val differs from synth->hold beyond hold->val variation.,smaller is better,true
