metric_id,metric_name,metric_family,description,preferred_direction,lower_is_better
od_jsd,OD JSD,od,Distribution mismatch between OD marginals.,smaller is better,true
od_chi2,OD Chi²,od,OD chi-square divergence for synthetic vs real.,smaller is better,true
od_coverage_real,OD coverage (real),od,Real OD support coverage (higher is better).,larger is better,false
od_coverage_synth,OD coverage (synth),od,Synthetic OD support coverage (higher is better).,larger is better,false
od_unique_real,OD unique modes (real),od,Unique OD modes observed in the real distribution.,larger is better,false
od_unique_synth,OD unique modes (synth),od,Unique OD modes generated by synthetic samples.,larger is better,false
joint_jsd,Joint JSD,joint,Joint OD+time distribution mismatch.,smaller is better,true
joint_chi2,Joint Chi²,joint,Joint OD+time chi-square divergence.,smaller is better,true
joint_coverage_real,Joint coverage (real),joint,Real joint support coverage (higher is better).,larger is better,false
joint_coverage_synth,Joint coverage (synth),joint,Synthetic joint support coverage (higher is better).,larger is better,false
joint_unique_real,Joint unique modes (real),joint,Unique OD+time mode count for real data.,larger is better,false
joint_unique_synth,Joint unique modes (synth),joint,Unique OD+time mode count for synthetic data.,larger is better,false
joint_mode_dropping_ratio,Joint mode dropping ratio,joint,Portion of real joint modes that disappear in synthetic.,smaller is better,true
joint_invalid_ratio,Joint invalid ratio,joint,Portion of invalid OD pairs in synthetic samples.,smaller is better,true
comparison_summary__abs_gap_to_hold_val,Abs gap from hold->val,derived,Absolute difference between synth->val and hold->val. Lower suggests synthetic is close to real split drift.,smaller is better,true
comparison_summary__relative_gap_to_hold_val,Relative gap from hold->val,derived,Absolute gap normalized by hold->val. Helps compare scale across metrics.,smaller is better,true
comparison_summary__generalization_shift,Generalization shift,derived,How much synth->val differs from synth->hold beyond hold->val variation.,smaller is better,true
