record_type,metric_table,run_section,artifact_name,metric_key,value,value_type,source_file,status,section_type,epoch,step,tag,metric_name
section_status,section,strategy_tht_run,run,status,ok,str,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_file,section,strategy_tht_run,run,file.size_bytes,4096,int,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_file,section,strategy_tht_run,run,file.sha256,,str,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,run_dir,outputs/save_data/ryc/tht_tripgen_20260212_234749,str,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,run_name,tht_tripgen_20260212_234749,str,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,model_type,tht_tripgen,str,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_EPOCHS,30,int,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_BATCH_SIZE,4096,int,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_LR,0.0003,float,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_WEIGHT_DECAY,0.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_GRAD_CLIP_NORM,2.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.PATIENCE,8,int,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.MIN_DELTA,0.0001,float,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_USE_PASSENGER_COUNT,True,bool,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_USE_TOTAL_AMOUNT,True,bool,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_COND_EMB_DIM,16,int,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_TIME_EMB_DIM,16,int,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_ORIGIN_EMB_DIM,32,int,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_MODEL_HIDDEN,256,int,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_MODEL_LAYERS,3,int,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_metric,metrics,strategy_tht_run,run,config.THT_MODEL_DROPOUT,0.1,float,outputs/save_data/ryc/tht_tripgen_20260212_234749,ok,run,,,,
section_status,section,strategy_tht_checkpoint,checkpoint,status,ok,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_file,section,strategy_tht_checkpoint,checkpoint,file.size_bytes,11514481,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_file,section,strategy_tht_checkpoint,checkpoint,file.sha256,d572ea12e8d3601e7d06639cce2109f116db97a3039b81857b2a18f8bdcc7a2b,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,epoch,30,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,payload_keys[0],epoch,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,payload_keys[1],meta,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,payload_keys[2],metrics,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,payload_keys[3],model_state,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,payload_keys[4],optimizer_state,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,has_model_state,True,bool,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,has_optimizer_state,True,bool,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.num_zones,262,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.num_time_bins,24,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.conditional_cardinalities.dow_idx,6,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.zone_embeddings_source,Ecomb,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.zone_embeddings_dim,128,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.zone_embeddings_path,outputs/topology_cache/Ecomb.pt,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.cond_emb_dim,16,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.time_emb_dim,16,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.origin_emb_dim,32,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.context_mlp_hidden,256,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.context_mlp_layers,3,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.dropout,0.1,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.destination_head_type,embedding_softmax,str,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.hybrid_residual_hidden,128,int,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.hybrid_residual_weight_init,1.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
section_metric,metrics,strategy_tht_checkpoint,checkpoint,meta.use_passenger_count,True,bool,outputs/save_data/ryc/tht_tripgen_20260212_234749/tht_tripgen.pt,ok,checkpoint,,,,
